"tipo_lista";"nome_lista";"numero";"nome_incantesimo";"tipologia";"descrizione";"note_lista"
"Liste di incantesimi dei Maghi";"AEROMANZIA";"1";"BREZZA";"F";"Questo incantesimo crea una brezza piuttosto sostenuta che trascina via ogni materiale sospeso in aria o in forma gassosa (polvere, nubi, ecc.), penalizzando di 30 punti ogni attacco a distanza che la attraverago drea etere una zosa di sima di meridi diametro.";""
"Liste di incantesimi dei Maghi";"AEROMANZIA";"2";"MURO VENTO";"F";"Crea un muro trasparente Gli attacchi che attraversano il muro subiscono una penalità di -50.";""
"Liste di incantesimi dei Maghi";"AEROMANZIA";"3";"CONDENSAZIONE";"F";"Condensa 36 decimetri cubi d'acqua, dall'aria circostante, nelle mani, riunite a coppa, del mago (l'acqua in eccesso può essere fatta defluire in un contenitore). Il mago, mentre è in corso il processo di condensazione, deve restare concentrato. Occorre 1 round nelle zone più umide e 10 round in quelle più aride (nelle altre zone, dipende dal tasso d'umidità dell'aria).";""
"Liste di incantesimi dei Maghi";"AEROMANZIA";"4";"NUVOLA STORDENTE";"F";"Crea una nube del raggio di 1 metro di particelle concentrate di gas. Nel 1° e 2° round, infligge un Colpo Critico da elettricità di tipo ""C"" a chiunque vi si trovi avviluppato. Nel3° e 4° di tipo ""B"", e nel 5° e 6° di tipo ""A"". Si sposta col vento e colpisce coloro che vengono a trovarsi al suo interno. Le vittime possono ricorrere ad un TR.";""
"Liste di incantesimi dei Maghi";"AEROMANZIA";"5";"CALMA";"F";"Annulla ogni spostamento d'aria (in pra ica, il vento), che non superi la velocità di 45 Km/h. Ir pratica questo incantesimo crea una zona di bonaccia dal raggio di 3 metri.";""
"Liste di incantesimi dei Maghi";"AEROMANZIA";"6";"NUVOLA STORDENTE";"F";"Come sopra, ma la nube, ha un raggio di 3 metri.";""
"Liste di incantesimi dei Maghi";"AEROMANZIA";"7";"VUOTO";"F";"Crea un vuoto d'aria quasi totale, in un'area di 1,5m di raggio. Tutti coloro che si trovano entro l'area, mentre l'aria ne esce e vi rientra con violenza, subiscono un Colpo Critico da impatto di tipo ""B"". Le ittimepossono ricorrere adun TR CALMA (F): Come sopra, ma la zona è di 6,5 metri di, NUVOLA STORDENTE (F): Come sopra, ma la nube ha un raggio di 6,5 metri.";""
"Liste di incantesimi dei Maghi";"AEROMANZIA";"8";"CALMA";"F";"Come sopra, ma la zona è di 6,5 metri di raggio.";""
"Liste di incantesimi dei Maghi";"AEROMANZIA";"9";"NUVOLA STORDENTE";"F";"Come sopra, ma la nube ha un raggio di 6,5 metri.";""
"Liste di incantesimi dei Maghi";"AEROMANZIA";"10";"NUVOLA MORTALE";"F";"Come Nuvola Stordente, la nube ha un raggio di 1,5 metri, ed infligge un Colpo Critico da elettricità: nel 1° e 2° round di tipo ""E"", nel 3° e 4° di tipo ""D"", nel 5° e 6° di tipo ""C"", nel 7° e 8° di tipo ""B"" e nel 9° e 10° di tipo ""A"".";""
"Liste aperte di incantesimi del Flusso";"ARTI DELLA GUARIGIONE";"1";"CURA 10";"A";"Cura 1D10 punti ferita";""
"Liste aperte di incantesimi del Flusso";"ARTI DELLA GUARIGIONE";"2";"CURAUSTIONII";"A";"Curaunapartedelcorpo leg germente congelata, oun ustione superficiale (di 1°";""
"Liste aperte di incantesimi del Flusso";"ARTI DELLA GUARIGIONE";"3";"RINFRANCA I";"A*";"Annula un round di stordimento, cioè il soggetto resta stordito per unround in meno.";""
"Liste aperte di incantesimi del Flusso";"ARTI DELLA GUARIGIONE";"4";"RIGENERA I";"A*";"Il personaggio, può curare 1 Punto Ferita subito da un personaggio, per ogni Round in cui";""
"Liste aperte di incantesimi del Flusso";"ARTI DELLA GUARIGIONE";"5";"CURA USTIONI II";"A";"Come Cura Ustioni I, ma può guariredueustioni superficiali, oppureun ' ustionedi gravità media (2° grado).";""
"Liste aperte di incantesimi del Flusso";"ARTI DELLA GUARIGIONE";"6";"RISVEGLIO";"A";"Risvegliaimmediatamente 1l sogge tto.";""
"Liste aperte di incantesimi del Flusso";"ARTI DELLA GUARIGIONE";"7";"CURA 50";"A";"Come Cura 10, ma cura 5D10 Punti Ferita.";""
"Liste aperte di incantesimi del Flusso";"ARTI DELLA GUARIGIONE";"8";"CURA USTIONI III";"A";"Come Cura Ustioni I, ma può curare tre ustioni superficiali oppure un'ustione grave (3° grado), oppure una superficiale e una media.";""
"Liste aperte di incantesimi del Flusso";"ARTI DELLA GUARIGIONE";"9";"RINFRANCA III";"A*";"Come Rinfranca I, ma annulla tre round di stordimento.";""
"Liste aperte di incantesimi del Flusso";"ARTI DELLA GUARIGIONE";"10";"RIGENERA III";"A*";"Come Rigenera I, ma cura tre Punti Ferita per round.";""
"Liste di incantesimi dei Ranger";"ARTI NATURALI";"1";"RABDOMANZIA";"I";"Localizza tutte le sorgenti superficiali, polle d'acqua, fontanili ecc. Il Ranger è anche in grado di stabilire l'entità e la qualità approssimativa delle sorgenti così individuate.";""
"Liste di incantesimi dei Ranger";"ARTI NATURALI";"2";"IGNIZIONE";"F";"Questo incantesimo rende incandescente ed appicca il fuoco a tutto il legname o altro materiale organico inanimato il cui punto di combustione non sia superiore a quello del legno e che si trovi a meno di 30 cm dalla mano del Ranger.";""
"Liste di incantesimi dei Ranger";"ARTI NATURALI";"3";"RESISTENZA AL CALORE";"A*";"Protegge il Ranger da temperature fino a 95°C. Aggiunge +20 ai TR contro calore, o -20 contro gli attacchi elementali del fuoco.";""
"Liste di incantesimi dei Ranger";"ARTI NATURALI";"4";"RESISTENZA AL GELO";"A*";"Protegge il Ranger dal freddo, fino a -30°C. Aggiunge +20 ai TR contro il freddo, o -20 contro gli attacchi elementali del freddo.";""
"Liste di incantesimi dei Ranger";"ARTI NATURALI";"5";"FORAGGIAMENTO";"I";"Il Ranger apprende la posizione, il tipo e la quantità approssimativa di ogni fonte di cibo (vettovaglie, vegetali, cacciagione ecc.).";""
"Liste di incantesimi dei Ranger";"ARTI NATURALI";"6";"STERILIZZAZIONE";"P";"Sterilizza fino a 33 dm cubi/LVL di liquido o solido. Elimina, cioè, tutte le creature viventi più piccole di 5mm, ma non quelle più grandi, veleni organici, o altro materiale.";""
"Liste di incantesimi dei Ranger";"ARTI NATURALI";"7";"RIPARO";"I";"Il Ranger apprende la posizione, il tipo e le dimensioni approssimative del più vicino riparo contro l'acqua. Il riparo deve avere un ingresso all'aria aperta, superiore a 60 cm di raggio.";""
"Liste di incantesimi dei Ranger";"ARTI NATURALI";"8";"TRAPPOLA";"F";"Il Ranger può costruire, all'aria aperta e nel giro di 1 minuto, una semplice trappola, che infligge un Colpo Critico di tipo ""B"" (es.: una buca con paletti acuminati, un laccio che strangoli la vittima, ecc.).";""
"Liste di incantesimi dei Ranger";"ARTI NATURALI";"9";"METEOROLOGIA";"I";"Consente di prevedere il tempo delle prossime 24 ore, con il 95% di probabilità di successo.";""
"Liste di incantesimi dei Ranger";"ARTI NATURALI";"10";"ECOPERCEZIONE";"I";"Consente al Ranger di ""vedere"" le attività che si svolgono nella zona (cioè, movimenti, combattimenti e manovre). L'incantesimo può essere usato solo se nel raggio d'azione ci sono piante e/o animali, poiché sono essi a fornire al Ranger le suddette informazioni.";""
"Liste di incantesimi dei Ranger";"ASPETTI NATURALI";"1";"MIMESI";"F";"Il Ranger e tutto l'equipaggiamento da lui indossato, assumono il colore di un qualsiasi materiale organico da lui scelto e con cui è in contatto. Beneficia così di un bonus di +50 all'abilità di Nascondersi.";""
"Liste di incantesimi dei Ranger";"ASPETTI NATURALI";"2";"OSCURITÀ";"F";"Tutte le ombre e le tenebre entro 33 metri dal punto toccato dal Ranger si infittiscono, aggiungendo un bonus di +25 alla sua abilità di Nascondersi.";""
"Liste di incantesimi dei Ranger";"ASPETTI NATURALI";"3";"GELO";"F";"Il Ranger, concentrandosi, può congelare 33 dm cubi/LVL di un liquido, al ritmo di 33 dm cubi/ROUND (la temperatura non può essere abbassata al di sotto di -35°C). Nessun fluido appartenente ad un essere vivente può essere affetto da questo incantesimo.";""
"Liste di incantesimi dei Ranger";"ASPETTI NATURALI";"4";"FURTIVITÀ";"F";"Il Ranger può muoversi silenziosamente fino al momento in cui non provoca un rumore originato da un elemento estraneo al suo corpo (es.: chiude una porta, calpesta un ramo, ecc.).";""
"Liste di incantesimi dei Ranger";"ASPETTI NATURALI";"5";"MIMETISMO";"F";"Il Ranger si mimetizza col terreno circostante (con un bonus di +75 all'abilità di Nascondersi), fintantoché resta immobile (può, tuttavia, effettuare piccoli movimenti: respirare, flettere i muscoli ecc.).";""
"Liste di incantesimi dei Ranger";"ASPETTI NATURALI";"6";"LUCE";"F";"Illumina un'area di 3 metri di raggio intorno al punto toccato.";""
"Liste di incantesimi dei Ranger";"ASPETTI NATURALI";"7";"TENEBRE";"F";"Come Luce, ma immerge nelle tenebre una zona di 3 metri di raggio. L'oscurità è equivalente a quella di una notte buia e senza luna.";""
"Liste di incantesimi dei Ranger";"ASPETTI NATURALI";"8";"OMBRA";"F";"Il Ranger e tutto l'equipaggiamento entro 30 cm dal suo corpo, assumono l'aspetto di un'ombra, e risultano pressoché invisibili nelle zone buie ed ombreggiate.";""
"Liste di incantesimi dei Ranger";"ASPETTI NATURALI";"9";"FALSA PIANTA";"F";"Il Ranger assume l'aspetto di una pianta (della specie che preferisce). Si tratta di una semplice illusione ottica, senza riuscire a simularne le dimensioni, il profumo e la consistenza al tatto.";""
"Liste di incantesimi dei Ranger";"ASPETTI NATURALI";"10";"MENTE VUOTA";"U";"La mente del Ranger, fin quando mantiene la concentrazione, ha lo stesso ""aspetto"" per un eventuale sonda mentale, di quella di un animale della sua scelta. Ciò ostacola gli incantesimi di individuazione (ad esempio: Presenza).";""
"Liste di incantesimi degli Animisti";"BOTANOMANZIA";"1";"BOTANICA";"I";"L'animista apprende istantaneamente tutto ciò che si può sapere sulla pianta sulla quale lancial'incantesimo.";""
"Liste di incantesimi degli Animisti";"BOTANOMANZIA";"2";"VIRDEOLINGUA";"A";"Il personaggio, per tuttaladuratadell'incantesimo, acquisisce la conoscenzadi unalingua vegetale (ma almeno un esemplare della specie presceltadeve essere a non più di 33 m dalui) EFFICACIA ISTANTANEA (A): Consente all'animistadi rendere immediati gli effetti di una qualsiasi erba. Quando l'erba verrà in seguito utilizzata, i suoi effetti, benefici o nocivi, si produrranno istantaneamente.";""
"Liste di incantesimi degli Animisti";"BOTANOMANZIA";"3";"EFFICACIA ISTANTANEA";"A";"Consente all'animista di rendere immediati gli effetti di una qualsiasi erba. Quando l'erba verrà in seguito utilizzata, i suoi effetti, benefici o nocivi, si produrranno istantaneamente.";""
"Liste di incantesimi degli Animisti";"BOTANOMANZIA";"4";"SINTESI";"A";"Consente di raddoppiare la potenzadi una qualsiasi erba (viva o morta) e può essere applicato una sola volta per ogni singoladose. L'incantesimo deve essere pronunciato subito primadi usare l'erba.";""
"Liste di incantesimi degli Animisti";"BOTANOMANZIA";"5";"LOCALIZZA PIANTA";"P";"L'animista può localizzare le piante di una singola specie, o scoprire quali specie di vegetali crescono nella zona.";""
"Liste di incantesimi degli Animisti";"BOTANOMANZIA";"6";"SELEZIONA ERBE";"A";"Consente di eliminare da unadose di erba ogni veleno, impurità, o effetto collaterale.";""
"Liste di incantesimi degli Animisti";"BOTANOMANZIA";"7";"MATURAZIONE RAPIDA";"F";"Consente di moltiplicare x100 il ritmo di crescitadi tutte le piante di una certa specie che si trovano entro il raggio d'azione.";""
"Liste di incantesimi degli Animisti";"BOTANOMANZIA";"8";"MATURAZIONE ISTANTANEA";"A";"Consente di far crescere un'erba, una pianta o un arbusto dopo averne piantato il seme. Il vegetale impiegherà solo da 1D10 round per crescere, ma sarà sterile (cioè non produrrà semi).";""
"Liste di incantesimi degli Animisti";"BOTANOMANZIA";"9";"CRESCITA PIANTE";"F";"Consente di raddoppiare le dimensioni di una pianta (per la crescita occorre 1 giorno). S e la piantanonè già matura, raggiunge le limensioni doppie nel momento in cui completala maturazione.";""
"Liste di incantesimi degli Animisti";"BOTANOMANZIA";"10";"CONTROLLO PIANTE";"F";"L'animista può controllare i processi automatici e/o mentali di una pianta. Se la pianta può spostarsi, ne controlla anche i movimenti.";""
"Liste di incantesimi dei Bardi";"CANTI DEL POTERE";"1";"CANTO DI PACE";"F";"Il soggetto viene ""calmato"", e non può intraprendere nessuna azione di tipo aggressivo, fin quando il bardo canta (mantenendo la concent razione).";""
"Liste di incantesimi dei Bardi";"CANTI DEL POTERE";"2";"CANTO CATENA";"F";"Come Canto Di Pace, ma in più il soggetto che ne è vittima può effettuare solo il 25% delle normali azioni.";""
"Liste di incantesimi dei Bardi";"CANTI DEL POTERE";"3";"CANTO STORDENTE";"F";"Come Canto Di Pace, ma in più il soggetto viene anche stordito.";""
"Liste di incantesimi dei Bardi";"CANTI DEL POTERE";"4";"CANTOMUTO";"F";"Come Canto Di Pace, ma il soggeto cheneèvittimanonpuòpiùparlare";""
"Liste di incantesimi dei Bardi";"CANTI DEL POTERE";"5";"CANTODELSONNO";"F";"ComeCanto Di Pace, ma il soggetto cade addormentato.";""
"Liste di incantesimi dei Bardi";"CANTI DEL POTERE";"6";"IPNOCANTO";"F";"Come Canto Di Pace, ma il soggetto crede che il bardo sia un buon amico. Se il bardo canta per almeno 3 round, gli effetti dell'incantesimo si protraggono per 10 minuti, dopo la fine del suo canto.";""
"Liste di incantesimi dei Bardi";"CANTI DEL POTERE";"7";"CANTO DELLA PAURA";"F";"Come Canto Di Pace, ma il soggetto che ne è vittima comincia ad avere pauradel pardo e cerca in ogni modo di fuggire dalui";""
"Liste di incantesimi dei Bardi";"CANTI DEL POTERE";"8";"INNO DI PACE";"F";"Come Canto Di Pace, ma gli effetti dell'incantesimo si prolungano per un tempo pari alladuratadel canto (es: se il bardo canta per 3 round, il soggetto resta calmo per altri 3 round dopo la fine del canto).";""
"Liste di incantesimi dei Bardi";"CANTI DEL POTERE";"9";"INNO STORDENTE";"F";"Come Inno Di Pace, ma il soggetto viene stordito.";""
"Liste di incantesimi dei Bardi";"CANTI DEL POTERE";"10";"CANTO DELL'OBLIO";"F";"Il soggetto dimentica ciò cheeaccaduto in unparticolareperiodopassato, specii catodalbardo (chenonpuòesserepiùlontanoneempo di 1 giorno per ogni livello del bardo). Laduratadel periodo nel quale viene cancellato il ricordo, è pari alladuratadel canto.";""
"Liste di incantesimi dei Bardi";"CONOSCENZA";"1";"STIMA PREZIOSI";"I";"Il bardo può stimare, con un'approssimazione del 10%, il valore dei gioielli e dei metali, inriferimentoalvalorechetahmercipossonoavere presso le razze e le culture aluinote";""
"Liste di incantesimi dei Bardi";"CONOSCENZA";"2";"STIMA VA LORE";"I";"Come Stima Preziosi, ma il bardo può stimare il valore di un qualsiasi oggetto, senza però venire a conoscenzadelle eventuali proprietà magiche di quell'oggetto. CAPTA MAGIA (I): Individuala magia contenuta in un oggetto. Rivelainoltre il regnomagicoe il livello dell'incantesimo contenuto nell'oggetto. ANALISI ARCANA I (I): Il bardo ha il 10% di probabilità di scoprire le abilità magiche di un oggetto, compresi i bonus e gli incantesimi. Tirate i dadi per ognunadi tali proprietà. Il bardo può lanciare l'incantesimo solo una volta per ciascun oggetto ed eseguire un nuovo tentativo sul medesimo, ogni volta che progredisce di livello.";""
"Liste di incantesimi dei Bardi";"CONOSCENZA";"3";"CAPTA MAGIA";"I";"Individua la magia contenuta in un oggetto. Rivela inoltre il regno magico e il livello dell'incantesimo contenuto nell'oggetto.";""
"Liste di incantesimi dei Bardi";"CONOSCENZA";"4";"ANALISI ARCANA I";"I";"Il bardo ha il 10% di probabilità di scoprire le abilità magiche di un oggetto, compresi i bonus e gli incantesimi. Tirate i dadi per ognuna di tali proprietà. Il bardo può lanciare l'incantesimo solo una volta per ciascun oggetto ed eseguire un nuovo tentativo sul medesimo, ogni volta che progredisce di livello.";""
"Liste di incantesimi dei Bardi";"CONOSCENZA";"5";"GRANDE ESTIMO";"I";"Come Stima Valore, ma il bardo può stimare qualunque cosa: case, battelli, animali, ecc. (ma non le eventuali proprietà magiche di tali oggetti).";""
"Liste di incantesimi dei Bardi";"CONOSCENZA";"6";"SIGNIFICANZA (1)";"";"Stabilisce se l'oggetto esaminato ha un'importanza storico culturale o razziale e dà un'ideadi quale essa sia.";""
"Liste di incantesimi dei Bardi";"CONOSCENZA";"7";"CAPTA MALEFICIO";"I";"Individua se un oggetto è maledetto e dà un'immagine di colui che ha imposto il maleficio.";""
"Liste di incantesimi dei Bardi";"CONOSCENZA";"8";"ORIGINE";"I";"Indicala razza e la naturadi colui che ha costruito l'oggetto dove e quando è stato costruito (entro 150 Km di distanza e 100 anni di tempo). ANALISI ARCANA II (I): Come Analisi Arcana I, male probabilità sono del 20% per ogni proprietà magica.";""
"Liste di incantesimi dei Bardi";"CONOSCENZA";"9";"ANALISI ARCANA II";"I";"Come Analisi Arcana I, ma le probabilità sono del 20% per ogni proprietà magica.";""
"Liste di incantesimi dei Bardi";"CONOSCENZA";"10";"STORIA";"I";"Offre al bardo la visione casuale di un evento passato del quale l'oggetto esaminato sia stato testimone. Le probabilità che la visione riguardi un evento specifico sono pari all'1% se l'età dell'oggetto è superiore ai 99 anni. Altrimenti, le probabilità percentuali, sono pari a 100 meno l'età dell'oggetto.";""
"Liste di incantesimi degli Animisti";"CONTROLLO ANIMALE";"1";"SONNO ANIMALE";"F";"Addormentaun animale: non è efficace contro creature ""incantate"" o intelligenti. Per quanto riguarda questo incantesimo, si considera i ""animale"" ogni creaturadi intelligenzalimitata, che agiscesoprattuttoinbaseall' addestramentoedal - l'istinto.";""
"Liste di incantesimi degli Animisti";"CONTROLLO ANIMALE";"2";"CELARSI";"E";"Consente all'animistadi confondersi con il terreno circostante e diventare pressoché invisibile agli animali. Contro gli altri esseri ha un bonus di +30 all'Abilità di Nascondersi.";""
"Liste di incantesimi degli Animisti";"CONTROLLO ANIMALE";"3";"EVOCAZIONEI";"F";"Consentedievocareunacreatura non intelligente di 1° livello, che sparisce dopo 1 minuto. L'animista può controllare la creatura concentrandosi. Può indicare il genere mal'esatta specie deve essere determinata a caso (es.: se sceglie un animale a quattro zampe, dotato di zoccoli, potrebbe apparire un cavallo, una zebra, un cammello ecc.).";""
"Liste di incantesimi degli Animisti";"CONTROLLO ANIMALE";"4";"ZOOLINGUA";"U";"L'animista per tuttaladuratadell'incantesimo, conosce unalingua animale (ma un esemplare della specie presceltadeve essere entro 33 metri dalui). Per quanto riguarda questo incantesimo, si intende per ""lingua animale"" una qualsiasi formadi comunicazione animale.";""
"Liste di incantesimi degli Animisti";"CONTROLLO ANIMALE";"5";"CONTROLLO ANIMALE";"F";"L'animista può, concentrandosi, controllare un qualsiasi animale.";""
"Liste di incantesimi degli Animisti";"CONTROLLO ANIMALE";"6";"EVOCAZIONE III";"F";"Come Evocazione I, mal'animista può evocare, per 1 minuto una creaturadi 3° ivello, oppure unadi 1° livello per 3 minuti, oppure 3 di 1° livello per 1 minuto, ecc. In altre parole, il prodotto di (livello)x(minuti) delle creature evocate, non può essere maggiore di tre.";""
"Liste di incantesimi degli Animisti";"CONTROLLO ANIMALE";"7";"LOCALIZZA ANIMALE";"P";"L'animista può localizzare gli esemplari di una specie animale o sapere quali specie animali vivono nella zona.";""
"Liste di incantesimi degli Animisti";"CONTROLLO ANIMALE";"8";"ADDOMESTICARE";"F";"Tutti gli animalinel raggio di 15 metri si comportano in modo amichevole nei confronti dell'animista, che però non ne assume il controllo.";""
"Liste di incantesimi degli Animisti";"CONTROLLO ANIMALE";"9";"EMPATIA ANIMALE";"P";"L'animista può comprendere e visualizzare i pensieri e le emozioni di un qualsiasi animale.";""
"Liste di incantesimi degli Animisti";"CONTROLLO ANIMALE";"10";"EVOCAZIONE V";"F";"Come Evocazione III, ma il prodotto (livello) x (minuti) non può essere maggiore di 5.";""
"Liste di incantesimi dei Bardi";"CONTROLLO SONICO";"1";"LUNGO SUSSURRO";"F*";"Il bardo può dirigere un sussurro che potra essere udito, solo in un punto, fino alladistanzadi 15 m per livello.";""
"Liste di incantesimi dei Bardi";"CONTROLLO SONICO";"2";"SILENZIO";"F";"Il bardo crea una zona, del raggio di 3 netri, di completo silenzio all'interno della quale null:";""
"Liste di incantesimi dei Bardi";"CONTROLLO SONICO";"3";"ROBOANZA II";"F*";"Raddoppia il raggio di azione di un incantesimo dallalista Canti del Potere che vengalanciato nel round successivo.";""
"Liste di incantesimi dei Bardi";"CONTROLLO SONICO";"4";"CANTOI";"F*";"Comesopra, ma, invece di raddoppiare il raggio, consente d i colpire 2 soggetti.";""
"Liste di incantesimi dei Bardi";"CONTROLLO SONICO";"5";"AUDIOMANZIA";"F";"Il bardopuò manipolare le onde sonore entro 3 metri dalui. Può creare i suoni che preferisce e se lo desidera, può renderli udibili anche oltre il normale raggio indicato.";""
"Liste di incantesimi dei Bardi";"CONTROLLO SONICO";"6";"GRANDE CANTO";"F*";"Come Canto II, ma sono considerati soggetti dell'incantesimo dellalista Canti del Potere tutti coloro che si trovano entro 3 metri dal bardo.";""
"Liste di incantesimi dei Bardi";"CONTROLLO SONICO";"7";"SILENZIO";"F";"Come sopra, ma il raggio d'azione è di 16,5 m.";""
"Liste di incantesimi dei Bardi";"CONTROLLO SONICO";"8";"ROBOANZA III";"F*";"Come sopra, ma il raggio d'azion eemoltiplicatoper 3.";""
"Liste di incantesimi dei Bardi";"CONTROLLO SONICO";"9";"CANTO III";"F*";"ComeCanto II, maconsente di colpire 3 bersagli.";""
"Liste di incantesimi dei Bardi";"CONTROLLO SONICO";"10";"AUDIOMANZIA";"F";"Come sopra, ma il raggio d'azione è di 33 metri.";""
"Liste aperte di incantesimi dell'Essenza";"CONTROLLO SPIRITUALE";"1";"SONNO V";"F";"Fa cadere nel sonno un numero variabile di soggetti, fino ad un totale di 5 livelli (es.: 1 di 5° livello, 1 di 4° ed 1 di 1°, 2 di 2° ed 1 di 1° ecc.) che si trovino nel campo visivo del personaggio.";""
"Liste aperte di incantesimi dell'Essenza";"CONTROLLO SPIRITUALE";"2";"FASCINO";"F";"Questo incantesimo ha effetto solo su un essere intelligente (umano o umanoide) che crederà, in questo modo, che colui che lancia l'incantesimo sia suo amico.";""
"Liste aperte di incantesimi dell'Essenza";"CONTROLLO SPIRITUALE";"3";"SONNO VII";"F";"Come Sonno V, ma addormenta fino a 7 livelli di soggetti";""
"Liste aperte di incantesimi dell'Essenza";"CONTROLLO SPIRITUALE";"4";"CONFUSIONE";"F";"Il soggetto vittima dell'incantesimo è incapace di prendere decisioni o intraprendere azioni per la durata di 1 round / 5 punti di fallimento del TR. Può, però, continuare a combattere o agire per la propria autodifesa.";""
"Liste aperte di incantesimi dell'Essenza";"CONTROLLO SPIRITUALE";"5";"INFLUENZA";"F";"La vittima esegue un attacco suggerito da chi lancia l'incantesimo, purché tale attacco non sia completamente estraneo all'allineamento morale (crampi, suicidi, ecc., ecc. non sia autolesionista (cioè, ""accecati"", ecc.).";""
"Liste aperte di incantesimi dell'Essenza";"CONTROLLO SPIRITUALE";"6";"SONNO X";"F";"Come Sonno V, ma addormenta fino a 10 livelli di soggetti.";""
"Liste aperte di incantesimi dell'Essenza";"CONTROLLO SPIRITUALE";"7";"BLOCCO";"F";"Ha effetto solo su umani ed umanoidi. Le 7 azioni della vittima sono limitate al 25% delle normali possibilità fin quando, chi getta l'incantesimo, mantiene la concentrazione.";""
"Liste aperte di incantesimi dell'Essenza";"CONTROLLO SPIRITUALE";"8";"COMANDO";"F";"La vittima, per tutta la durata dell'incantesimo, deve obbedire al personaggio, come accade per l'incantesimo Influenza. Il personaggio può imporre tutti i comandi che preferisce, purché non siano completamente estranei alla mentalità della vittima o autolesionisti.";""
"Liste aperte di incantesimi dell'Essenza";"CONTROLLO SPIRITUALE";"9";"INCANTO";"F";"Come Fascino, ma è efficace contro qualsiasi creatura senziente.";""
"Liste aperte di incantesimi dell'Essenza";"CONTROLLO SPIRITUALE";"10";"COERCIZIONE";"F";"Viene assegnato un compito alla vittima; in caso di fallimento, la vittima subisce una penalità, fissata dal Game Master (il compito deve, comunque, rientrare nelle sue capacità). La penalità non dovrà mai essere niente di più che un handicap limitato. Ad esempio potrebbe trattarsi di una piccola diminuzione delle caratteristiche oppure di una fobia (paura, dei ragni, dell'acqua, ecc.) o un altro tipo di malattia. Un'altra alternativa potrebbe essere una minorazione fisica come uno sfregio, dei dolori reumatici, una lieve zoppia, ecc.";""
"Liste di incantesimi degli Animisti";"CREAZIONI";"1";"SOSTENTAMENTO";"U";"L'animista riceve tutto il cibo, e l'acqua, necessari a sostenerlo per 1 giorno.";""
"Liste di incantesimi degli Animisti";"CREAZIONI";"2";"MURO VENTO";"E";"Crea un muro d'aria compressa, densa e trasparente, di 3x3x1m. Penalizzadel 50% il movimento e gli attacchi che lo attraversano.";""
"Liste di incantesimi degli Animisti";"CREAZIONI";"3";"CREAZIONE ACQUA";"P";"L'animista può produrre, in un contenitore qualsiasi, acqua sufficiente a sostenere una persona per un giorno.";""
