id_abilita_primaria,categoria_abilita_primaria,tipo_abilita_primaria,tipo_abilita_primaria_sigla,nome_abilita_primaria,caratteristica_abilita_primaria,abilita_primaria_descrizione,abilita_primaria_bonus_valore_iniziale,abilita_primaria_bonus_calcolo
12,generali,Manovre in Movimento (MM),MM,Arrampicarsi,AG,"Si ricorre a questa Abilità quando si deve affrontare u n arrampicata impegnativa (ad esempio: per salire su un albero, lungo una parete o una corda, ma non per salire le scale normali o a pioli). La velocità di salita lungo una parete, con adeguati appigli, è di 3 m/round, e costituisce una manovra di difficoltà ""Media""",bonus AG,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
13,generali,Manovre in Movimento (MM),MM,Cavalcare,IT,"Abilità a cui si ricorre per montare ogni specie di animale (cavalli, muli, cammelli, o aquile giganti). In tali occasioni, occorre effettuare un Tiro Manovra solo quando si compiano azioni insolite oppure in ogni round nel quale si attacchi restando in sella.",bonus IT,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
14,generali,Manovre in Movimento (MM),MM,Nuotare,AG,"Si fa uso di questa Abilità quando si nuota. Se il personaggio indossa un' armatura, la manovra diventa più difficile, se non impossibile (a discrezione del GM). Ad esempio: Corazza di piastre =assurdo; Corazza di maglia =difficilissimo; Cuoio Rinforzato molto difficile; Cuoio Grezzo =difficile; Abiti pesanti =media. Altri fattori possono far aumentare la difficoltà (per es.: l'acqua agitata).",bonus AG,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
15,generali,Manovre Statiche (MS),MS,Seguire tracce,IN,"Viene usata quando si tenta di riconoscere delle tracce, o di seguirle.",bonus IN,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
16,sotterfugio,Azioni Speciali (AS),AS,Cogliere alle spalle,n/a,"Quando il personaggio riesce a portarsi dietro un avversario, può effettuare un Tiro Manovra per ""coglierlo alle spalle"" con un normale attacco di mischia. Se il Tiro Manovra fallisce, si effettua un normale attacco di mischia; se ha successo, e al normale attacco segue un Colpo Critico, si lanciano normalmente i dadi per il Colpo Critico, ma l'attaccante, dopo averne conosciuto il risultato, può decidere se aggiungere ad esso il Grado dell'Abilità di ""Colpire alle spalle"".",n/a,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
18,sotterfugio,Manovre Statiche (MS),MS,Nascondersi,PR,Questa Abilità condiziona l'efficacia con cui il personaggio si nasconde senza muoversi (Manovra Statica). Il Tiro Manovra viene modificato (in negativo) dal bonus di Percezione di coloro che si trovano nelle vicinanze e che tentano di vederlo o di sentirlo.,bonus PR,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
19,sotterfugio,Manovre in Movimento (MM),MM,Muoversi silenziosamente,PR,Questa Abilità condiziona l'efficacia con cui il personaggio si muove in silenzio (senza essere visto nè udito: Manovra in Movimento). Il Tiro Manovra viene modificato (in negativo) dal bonus di Percezione di coloro che si trovano nelle vicinanze e che tentano di vederlo o di sentirlo.,bonus PR,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
20,sotterfugio,Manovre Statiche (MS),MS,Scassinare serrature,IN,Influisce sui tentativi di scassinare ogni genere di serratura.,bonus IN,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
21,sotterfugio,Manovre Statiche (MS),MS,Disattivare trappole,IT,Influisce sui tentativi di disattivare ogni genere di trappola.,bonus IT,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
22,magiche,Azioni Speciali (AS),AS,Lettura rune,IN,È l'Abilità di decifrare l'incantesimo scritto con le Rune su di un foglio (o una pergamena) e quindi di lanciarlo. Per studiare e apprendere l'incantesimo occorre un Tiro Manovra Statica in base alla tabella TM-2 (modificato dal bonus di questa Abilità). Con un tiro analogo si determina se il personaggio può lanciare l'incantesimo scritto sulla pergamena.,bonus IN,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
23,magiche,Azioni Speciali (AS),AS,Uso oggetti magici,IT,"È l'Abilità di comprendere quali incantesimi e proprietà magiche sono infusi in un oggetto (diverso dalle pergamene runiche o altri oggetti speciali), e la conseguente Abilità di lanciarli. Il procedimento è identico a quello della Lettura delle Rune, ma in questo caso si deve far uso del bonus per l'Uso di Oggetti Magici.",bonus IT,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
24,magiche,Bonus Offensivi (BO),BO,Incantesimi diretti,AG,"Questa Abilità quantifica l'efficacia degli incantesimi elementali usati dal personaggio in combattimento (differenti dai normali incantesimi e dalle armi). Il bonus cui dà diritto viene applicato ai Tiri per Colpire di tali incantesimi. Sono ""diretti"" tutti gli incantesimi di ""dardo"" (pirodardo, gelodardo, ecc.) e l'incantesimo di ""lampo"". Non rientrano in questa categoria gli incantesimi ""sfera"" (ad es. Pirosfera, Gelosfera ecc.). Agli attacchi di quest'ultimo tipo si applica, infatti, il bonus per gli Incantesimi di Base. Contro di essi non è possibile ricorrere al Tiro Resistenza, ma la vittima dell'attacco (sia degli Incantesimi Diretti che quelli di Sfera) può ricorrere ad un Tiro Manovra in Movimento (come se la sua azione, per il round in corso, fosse mettersi al riparo). In questo modo potrà modificare il Tiro per Colpire da -10 a -60, a seconda del tipo di riparo disponibile.",bonus AG,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
25,bonus e abilità varie,Manovre Statiche (MS),MS,Percezione,IT,"È la misura della quantità di indizi ed informazioni che il personaggio può trarre dall'osservazione. Può essere usata per scoprire trappole, per vedere qualcuno che stia tentando di nascondersi o di muoversi in silenzio, per trovare porte segrete ecc. Il GM, se il personaggio dichiara di osservare o esaminare una zona o un luogo, deve effettuare un Tiro Manovra Statica, modificandolo col bonus di Percezione. Il bonus di Percezione diminuisce di -5 se il personaggio indossa un elmo. Il bonus può essere usato anche per modificare il Tiro Manovra di un avversario che tenta di nascondersi o di muoversi in silenzio.",bonus IT,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
26,bonus e abilità varie,Azioni Speciali (AS),AS,Resistenza fisica,CO,"Indica la capacità di sopportare il dolore, lo shock e la perdita di sangue. Ogni volta che il Grado di questa Abilità aumenta di 1 punto, il personaggio tira 1D10 ed aggiunge il risultato al bonus (non si applicano i normali bonus dovuti al Grado di Abilità). Il bonus speciale di questa attività, all'inizio della carriera del personaggio, è pari a 5 (già inserito nella Scheda). L'ammontare del bonus rappresenta il ""Totale di Punti Ferita del personaggio"": cioè il numero di Punti Ferita che può sopportare (per i danni subiti dagli attacchi o in altro modo) prima di perdere i sensi. Se il personaggio subisce un quantitativo di Punti Ferita superiore alla somma dei suoi Punti Ferita e del punteggio della Costituzione, muore a causa del tremendo shock e per l'emorragia interna.",bonus CO,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
27,magiche,Bonus Offensivi (BO),BO,Incantesimi base,n/a,"L'abilità denominata Incantesimi Base, invece contempla il Bonus Offensivo da utilizzarsi quando si lanciano degli incantesimi d'attacco diversi dagli Incantesimi Dardo.",bonus AG,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
28,bonus e abilità varie,Azioni Speciali (AS),AS,Leadership e influenza,PR,Abilità che esprime carisma e capacità di influenzare e acquisire consenso.,bonus PR,"per il calcolo sono da aggiungere: bonus popolo, bonus professione, bonus speciali (oggetti, background)"
