Tabella,Colpo maldestro,Risultato del tiro,descrizione,note
TTM-1,Armi da mischia,33,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,34,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,35,Cattiva esecuzione. Perdi l'opportunità di colpire e ti infliggi da solo 2 Punti Ferita.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,36,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,37,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,38,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,39,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,40,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,41,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,42,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,43,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,44,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,45,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,46,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,47,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,48,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,49,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,50,"L'arma ti cade di mano. Ci vogliono 2 round per raccoglierla, o 1 round per estrarne un'altra.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,51,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,52,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,53,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,54,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,55,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,56,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,57,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,58,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,59,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,60,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,61,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,62,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,63,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,64,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,65,Sbagli malamente il colpo e resti senza fiato. Hai bisogno di riposo. -40 all'attività per 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,66,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,67,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,68,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,69,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,70,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,71,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,72,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,73,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,74,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,75,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,76,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,77,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,78,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,79,Inciampi e restistordito per 2 round. Con un po' di fortuna potrai sopravvivere!,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,80,"Mossa incredibilmente sbagliata! Ti procuri da solo un Colpo Critico da Impatto di tipo B. Invece se il tuo avversario usa un'arma da taglio, la tua arma si rompe.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,81,Nella foga della lotta ti mordi la lingua. Stordito 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,82,Nella foga della lotta ti mordi la lingua. Stordito 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,83,Nella foga della lotta ti mordi la lingua. Stordito 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,84,Nella foga della lotta ti mordi la lingua. Stordito 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,85,Nella foga della lotta ti mordi la lingua. Stordito 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,86,Nella foga della lotta ti mordi la lingua. Stordito 2 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,87,"Perdi la presa, non solo con l'arma, ma anche con la realtà! Resti stordito per 3 round.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,88,"Perdi la presa, non solo con l'arma, ma anche con la realtà! Resti stordito per 3 round.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,89,"Perdi la presa, non solo con l'arma, ma anche con la realtà! Resti stordito per 3 round.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,90,Cattivo gusto e scarsa l'esecuzione. Quasi riesci a mutilarti mentre la tua arma si rompe! Ti infliggi un Critico di tipo B da Taglio.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,91,Errore incredibile! Infliggi un Colpo Critico da Impatto di tipo B ad un tuo amico che combatte vicino a te.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,92,Errore incredibile! Infliggi un Colpo Critico da Impatto di tipo B ad un tuo amico che combatte vicino a te.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,93,Errore incredibile! Infliggi un Colpo Critico da Impatto di tipo B ad un tuo amico che combatte vicino a te.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,94,Errore incredibile! Infliggi un Colpo Critico da Impatto di tipo B ad un tuo amico che combatte vicino a te.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,95,Errore incredibile! Infliggi un Colpo Critico da Impatto di tipo B ad un tuo amico che combatte vicino a te.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,96,Errore incredibile! Infliggi un Colpo Critico da Impatto di tipo B ad un tuo amico che combatte vicino a te.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,97,Inciampi su un'immaginaria tartaruga morta. Sei molto confuso e resti stordito per 3 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,98,Inciampi su un'immaginaria tartaruga morta. Sei molto confuso e resti stordito per 3 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,99,Inciampi su un'immaginaria tartaruga morta. Sei molto confuso e resti stordito per 3 round.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,100,La peggior cosa vista da anni a questa parte. Ti dai una gran botta al basso ventre: -60 all'attività. Il tuo avversario resta stordito per 2 round dal gran ridere.,"MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
TTM-1,Armi da mischia,101,"Barcolli e cadi, in un apparente tentativo di suicidio. Resti stordito per 3 round. Se usi un'arma ad asta, l'asta va in frantumi.","MODIFICHE:
-20: Armi a 1 mano contundenti
-10: Armi a 1 mano da taglio
+0: Armi a 2 mani
+10: A r m i a d asta
+20: A cavallo"
