"Categoria";"Nome";"Livello";"quantita";"velocità movimento";"VM_movimento_base";"VM_bonus_MM";"velocità_attacco";"VA_bonus_inziativa";"punti_ferita";"tipo_armatura";"bonus_difensivo";"Attacco_uno";"Attacco_uno_BO";"Attacco_due";"Attacco_due_BO";"attacco_speciale";"Dimensioni_animale";"critico_animale";"Note"
"Volatili";"Forcelli";"0";"46032";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"8";"nessuna armatura";"70";"(CH) Chele/Becco";"10";"";"";"";"piccolissimo";"normale";"Passivo"
"Volatili";"Grandi Aquile";"30";"46032";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"300";"cuoio rinforzato";"90";"(AR) Artigli/Unghie";"120";"(CH) Chele/Becco";"100";"(sp)";"enorme";"enormi";"Buono, intelligente"
"Volatili";"Grandi Falchi di Ardor";"15";"46024";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"150";"cuoio morbido";"60";"(AR) Artigli/Unghie";"95";"(CH) Chele/Becco";"70";"(sp)";"grande";"grandi";"Feroce, cavalcature"
"Volatili";"Grandi Falchi di Bosco Atro";"10";"46024";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"100";"cuoio morbido";"60";"(AR) Artigli/Unghie";"90";"(CH) Chele/Becco";"60";"(sp)";"grande";"grandi";"Normale"
"Volatili";"Golodo";"1";"1-100";"(ME) Medio";"15m";"+10";"(ME) Medio";"+0";"40";"nessuna armatura";"20";"(CH) Chele/Becco";"35";"";"";"";"piccolo";"normale";"Passivo"
"Volatili";"Gufo dalle orecchie corte";"4";"46032";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"20";"nessuna armatura";"50";"(AR) Artigli/Unghie";"50";"(AR) Artigli/Unghie";"25";"";"piccolo";"normale";"Normale, notturno"
"Volatili";"Gufi dei Tumuli";"2";"46027";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"20";"nessuna armatura";"50";"(AR) Artigli/Unghie";"35";"(CH) Chele/Becco";"10";"";"piccolo";"normale";"Normale, notturni"
"Volatili";"Jatewoone";"9";"1";"(VE) Veloce";"30m";"+30";"(VC) Molto veloce";"+60";"120";"nessuna armatura";"30";"(CH) Chele/Becco";"80";"(AR) Artigli/Unghie";"70";"";"grande";"grandi";"Protettivo, vive in paludi"
"Volatili";"Kirinki (pl –r),";"0";"46024";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"5";"nessuna armatura";"55";"(CH) Chele/Becco";"5";"";"";"";"piccolissimo";"normale";"Passivo, usignolo"
"Volatili";"Martin Pescatore";"1";"1-50";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"8";"nessuna armatura";"60";"(CH) Chele/Becco";"20";"";"";"";"piccolissimo";"normale";"Normale"
"Volatili";"Orao (Aquila del deserto)";"6";"46026";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"120";"nessuna armatura";"30";"(AR) Artigli/Unghie";"80";"(CH) Chele/Becco";"60";"";"medio";"grandi";"Aggressivo"
"Volatili";"Pipistrello cacciatore";"2";"46325";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"20";"nessuna armatura";"50";"(MO) Morso";"50";"";"";"";"piccolo";"normale";"Aggressivo, infetto"
"Volatili";"Pipistrello delle caverne";"1";"2-100";"(VE) Veloce";"30m";"+30";"(VC) Molto veloce";"+60";"8";"nessuna armatura";"50";"(AR) Artigli/Unghie";"50";"(MO) Morso";"40";"";"piccolo";"normale";"Aggressivo"
"Volatili";"Pipistrello gigante";"5";"46042";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"60";"nessuna armatura";"60";"(MO) Morso";"75";"(AR) Artigli/Unghie";"60";"";"medio";"normale";"Aggressivo, notturno"
"Volatili";"Pipistrello degli stagni";"0";"1-100";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"5";"nessuna armatura";"60";"(MO) Morso";"25";"";"";"";"piccolissimo";"normale";"Passivo, infetto"
"Volatili";"Poiana";"2";"46063";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"30";"nessuna armatura";"50";"(AR) Artigli/Unghie";"40";"(CH) Chele/Becco";"25";"";"medio";"normale";"Aggressivo"
"Volatili";"Tarabuso";"1";"46042";"(ME) Medio";"15m";"+10";"(ME) Medio";"+0";"15";"nessuna armatura";"30";"(AR) Artigli/Unghie";"20";"(CH) Chele/Becco";"10";"";"piccolo";"normale";"Normale, pescatore"
"Volatili";"Tordo";"0";"46024";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"6";"nessuna armatura";"60";"(CH) Chele/Becco";"15";"";"";"";"piccolissimo";"normale";"Intelligente, messaggero"
"Volatili";"Uccelli di Moria";"2";"21-30";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"11";"nessuna armatura";"60";"(CH) Chele/Becco";"50";"(AR) Artigli/Unghie";"40";"";"piccolo";"normale";"Aggressivo"
"Volatili";"Volpe volante";"1";"46042";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"10";"nessuna armatura";"50";"(MO) Morso";"20";"(AR) Artigli/Unghie";"20";"";"piccolo";"normale";"Normale"
"Creature acquatiche";"Carnato (pl –r), Fauci rosse";"10";"46024";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"275";"cuoio rinforzato";"40";"(MO) Morso";"95";"(TE) Testa/Cornata";"100";"(sp)";"grande";"grandi";"Feroce anguilla gigante"
"Creature acquatiche";"Charothrond, Cherethrynd";"12";"46073";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"550";"cuoio rinforzato";"40";"(UR) Urto";"80";"(MO) Morso";"90";"(sp)";"enorme";"enormi";"Balena"
"Creature acquatiche";"Lampreda";"1";"46026";"(LE) Lento";"7,5m";"+5";"(LE) Lento";"-20";"15";"cuoio morbido";"20";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"40";"";"";"";"piccolo";"normale";"Succhia 2PF/r"
"Creature acquatiche";"Luccio";"2";"1";"(MV) Med. veloce";"22,5m";"+20";"(VE) Veloce";"+40";"75";"nessuna armatura";"35";"(MO) Morso";"45";"";"";"";"medio";"normale";"Aggressivo"
"Creature acquatiche";"Morchaithrais,Merchaithrais";"5";"46024";"(ME) Medio";"15m";"+10";"(VE) Veloce";"+40";"65";"nessuna armatura";"35";"(PU) Pungiglioni";"60";"(UR) Urto";"50";"(sp)";"medio";"grandi";"Manta. Veleno e shock"
"Creature acquatiche";"Mulkána (pl –r)";"6";"1";"(ST) Strisciante";"1,5m";"+0";"(LE) Lento";"-20";"225";"corazza piastre";"20";"(IM) Stritolamento";"30";"";"";"(sp)";"enorme";"grandi";"Bivalve gigante, acido"
"Creature acquatiche";"Nimaeagurth, Nimaeagyrth";"5";"46032";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"180";"cuoio morbido";"30";"(MO) Morso";"100";"";"";"";"grande";"grandi";"Letale squalo"
"Creature acquatiche";"Pesce gatto piccolo";"3";"46027";"(LE) Lento";"7,5m";"+5";"(MV) Med. veloce";"+20";"160";"cuoio morbido";"30";"(TE) Testa/Cornata";"60";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"60";"";"medio";"normale";"Normale"
"Creature acquatiche";"Pesce gatto grande";"7";"46024";"(ML) Molto lento";"4,5m";"+0";"(ME) Medio";"+0";"260";"cuoio morbido";"15";"(TE) Testa/Cornata";"90";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"90";"";"grande";"grandi";"Normale"
"Creature acquatiche";"Sanguisuga";"0";"1-50";"(LE) Lento";"7,5m";"+5";"(LE) Lento";"-20";"4";"nessuna armatura";"5";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"30";"";"";"";"piccolissimo";"normale";"Succhia 1PF/r"
"Creature acquatiche";"Sarnúmen (pl –i)";"7";"46024";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"210";"cuoio rinforzato";"40";"(MO) Morso";"75";"(UR) Urto";"90";"";"medio";"grandi";"Anguilla gigante"
"Creature acquatiche";"Seppia";"1";"46024";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"20";"nessuna armatura";"50";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"40";"(CH) Chele/Becco";"30";"";"piccolo";"normale";"Nuvola d’inchiostro"
"Creature acquatiche";"Storione";"5";"46024";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"140";"cuoio morbido";"10";"(TE) Testa/Cornata";"70";"(MO) Morso";"60";"";"medio";"normale";"Passivo"
"Creature acquatiche";"Ulmodil (pl –i),";"8";"10-200";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"110";"nessuna armatura";"50";"(TE) Testa/Cornata";"70";"(MO) Morso";"60";"";"medio";"grandi";"Delfino blu e bianco"
"Creature acquatiche";"Vongole di Vessino";"0";"46042";"(ST) Strisciante";"1,5m";"+0";"(ST) Strisciante";"-60";"5";"corazza piastre";"0";"(CA) Caduta";"0";"";"";"";"piccolissimo";"normale";"Balsamo lenitivo"
"Potili (Insetti, aracnidi e crostacei)";"Api di terra";"0";"4-400";"(ME) Medio";"15m";"+10";"(VC) Molto veloce";"+60";"1";"nessuna armatura";"40";"(PU) Pungiglioni";"0";"(CH) Chele/Becco";"0";"";"piccolissimo";"normale";"In gruppo 20PU (P)"
"Potili (Insetti, aracnidi e crostacei)";"Calabrone di rupe";"1";"10-100";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"1";"nessuna armatura";"40";"(PU) Pungiglioni";"0";"(PU) Pungiglioni";"20";"";"piccolo";"normale";"Protettivo, veleno lv1"
"Potili (Insetti, aracnidi e crostacei)";"Dumbledor";"1";"1-100";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"3";"nessuna armatura";"40";"(MO) Morso";"10";"";"";"";"piccolissimo";"normale";"Aggressivo, veleno lv3"
"Potili (Insetti, aracnidi e crostacei)";"Galungol, Gelyngyl";"5";"46073";"(ME) Medio";"15m";"+10";"(MV) Med. veloce";"+20";"45";"cuoio morbido";"30";"(CH) Chele/Becco";"45";"(PU) Pungiglioni";"50";"";"piccolo";"normale";"Ragno verde, veleno lv6"
"Potili (Insetti, aracnidi e crostacei)";"Ylcarcan, Ûlcercain,";"0";"1-100";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"3";"cuoio morbido";"45";"(CH) Chele/Becco";"25";"(sp) veleno";"";"";"piccolissimo";"normale";"Aggressivo centipede"
"Potili (Insetti, aracnidi e crostacei)";"Mabelmaikli, Artigli affilati";"4";"46027";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"155";"cuoio rinforzato";"25";"(CH) Chele/Becco";"80";"(CH) Chele/Becco";"40";"";"medio";"normale";"Aggressivo granchio"
"Potili (Insetti, aracnidi e crostacei)";"Mosca di Mordor";"0";"1-100";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"2";"nessuna armatura";"35";"(MO) Morso";"15";"";"";"";"piccolissimo";"normale";"Aggressivo, infetto"
"Potili (Insetti, aracnidi e crostacei)";"Neekerbreeker";"0";"3-300";"(VE) Veloce";"30m";"+30";"(ME) Medio";"+0";"1";"nessuna armatura";"45";"(MO) Morso";"10";"";"";"";"piccolissimo";"normale";"Grillo, affamato, infetto"
"Rávatsar (Anfibi e Rettili)";"Alligatore";"2";"46027";"(MV) Med. veloce";"22,5m";"+20";"(ME) Medio";"+0";"120";"cuoio rinforzato";"0";"(MO) Morso";"60";"";"";"";"grande";"normale";"Normale"
"Rávatsar (Anfibi e Rettili)";"Andodaio, Andodailion";"3";"10-100";"(MV) Med. veloce";"22,5m";"+20";"(ME) Medio";"+0";"55";"cuoio morbido";"30";"(AR) Artigli/Unghie";"30";"(TE) Testa/Cornata";"30";"";"piccolo";"normale";"Lucertola notturna"
"Rávatsar (Anfibi e Rettili)";"Angusaiwë, Angusaiwéli";"2";"46042";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"25";"cuoio morbido";"50";"(MO) Morso";"30";"(PU) Pungiglioni";"40";"";"piccolo";"normale";"Lucertola bipede, vel. lv3"
"Rávatsar (Anfibi e Rettili)";"Aspide verde";"3";"5-50";"(LE) Lento";"7,5m";"+5";"(VC) Molto veloce";"+60";"20";"nessuna armatura";"40";"(PU) Pungiglioni";"35";"";"";"";"piccolo";"normale";"Veleno lv5"
"Rávatsar (Anfibi e Rettili)";"Aspide tremolante";"2";"46024";"(LE) Lento";"7,5m";"+5";"(VC) Molto veloce";"+60";"15";"nessuna armatura";"50";"(PU) Pungiglioni";"25";"";"";"";"piccolo";"normale";"Normale, veleno lv8"
"Rávatsar (Anfibi e Rettili)";"Coccodrillo di mare";"7";"46024";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"245";"cuoio rinforzato";"30";"(MO) Morso";"100";"(UR) Urto";"110";"";"grande";"grandi";"Aggressivo, attacca navi"
"Rávatsar (Anfibi e Rettili)";"Coccodrillo di palude";"3";"46027";"(ME) Medio";"15m";"+10";"(ME) Medio";"+0";"120";"cuoio morbido";"10";"(MO) Morso";"80";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"80";"";"grande";"grandi";"In acqua"
"Rávatsar (Anfibi e Rettili)";"Coccodrillo di palude";"3";"46027";"(ML) Molto lento";"4,5m";"+0";"(LE) Lento";"-20";"120";"cuoio morbido";"0";"(MO) Morso";"40";"(TE) Testa/Cornata";"60";"";"medio";"grandi";"Sulla terra"
"Rávatsar (Anfibi e Rettili)";"Colubro";"2";"46024";"(LE) Lento";"7,5m";"+5";"(VC) Molto veloce";"+60";"30";"nessuna armatura";"40";"(PU) Pungiglioni";"55";"";"";"";"piccolo";"normale";"Serpente, veleno lv10"
"Rávatsar (Anfibi e Rettili)";"Nathair, Nethairin";"1";"46024";"(LE) Lento";"7,5m";"+5";"(VC) Molto veloce";"+60";"30";"nessuna armatura";"20";"(PU) Pungiglioni";"40";"";"";"";"piccolo";"normale";"Serpente, veleno lv6"
"Rávatsar (Anfibi e Rettili)";"Nathair Ardor, Net.. Erdyr";"1";"46024";"(LE) Lento";"7,5m";"+5";"(SC) Saettante";"+80";"20";"nessuna armatura";"30";"(PU) Pungiglioni";"30";"";"";"";"piccolo";"normale";"Serpente, veleno lv5"
"Rávatsar (Anfibi e Rettili)";"Nathrach, Nethraich";"1";"46024";"(ME) Medio";"15m";"+10";"(SC) Saettante";"+80";"25";"nessuna armatura";"25";"(PU) Pungiglioni";"35";"";"";"";"piccolo";"normale";"Acquatico, veleno lv2"
"Rávatsar (Anfibi e Rettili)";"Arnathrach (Nathrach reale)";"4";"46024";"(ME) Medio";"15m";"+10";"(VE) Veloce";"+40";"75";"cuoio morbido";"20";"(PU) Pungiglioni";"60";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"40";"";"medio";"normale";"Acquatico, veleno lv6"
"Rávatsar (Anfibi e Rettili)";"Otravati, Otrovativi";"1";"46024";"(ME) Medio";"15m";"+10";"(VC) Molto veloce";"+60";"30";"nessuna armatura";"30";"(PU) Pungiglioni";"35";"";"";"";"piccolo";"normale";"Harad, veleno nervi lv25"
"Rávatsar (Anfibi e Rettili)";"Petla, Petlavi. Strangolatore";"6";"1";"(ML) Molto lento";"4,5m";"+0";"(MV) Med. veloce";"+20";"120";"cuoio morbido";"10";"(MO) Morso";"80";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"70";"";"medio";"grandi";"Se afferra, 100IM (G)"
"Rávatsar (Anfibi e Rettili)";"Rana volante grigia";"0";"10-100";"(ML) Molto lento";"4,5m";"+0";"(LE) Lento";"-20";"5";"nessuna armatura";"20";"(TE) Testa/Cornata";"0";"(AR) Artigli/Unghie";"0";"";"piccolissimo";"normale";"Veleno muscolare lv3"
"Rávatsar (Anfibi e Rettili)";"Tartaruga blu";"5";"46026";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"150";"cuoio rinforzato";"20";"(MO) Morso";"65";"(AR) Artigli/Unghie";"40";"";"medio";"normale";"Veleno muscolare lv2"
"Rávatsar (Anfibi e Rettili)";"Tartaruga di terra";"4";"46024";"(LE) Lento";"7,5m";"+5";"(ME) Medio";"+0";"75";"cuoio rinforzato";"30";"(CH) Chele/Becco";"55";"";"";"";"medio";"normale";"Passivo, molto lento"
"Rávatsar (Anfibi e Rettili)";"Trusa, Trusavi";"1";"46027";"(LE) Lento";"7,5m";"+5";"(LE) Lento";"-20";"10";"nessuna armatura";"30";"(TE) Testa/Cornata";"0";"(PU) Pungiglioni";"50";"";"piccolissimo";"normale";"Rana di foglia, veleno lv4"
"Rávatsar (Anfibi e Rettili)";"Umak, Umakavi";"1";"46032";"(LE) Lento";"7,5m";"+5";"(LE) Lento";"-20";"8";"nessuna armatura";"30";"(TE) Testa/Cornata";"0";"(sp) veleno";"";"";"piccolissimo";"normale";"Rana d’albero, veleno lv10"
"Rávatsar (Anfibi e Rettili)";"Vipera di Ëgil";"8";"46024";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"100";"cuoio morbido";"60";"(MO) Morso";"75";"";"";"";"medio";"grandi";"Sputa veleno a 10m"
"Rávatsar (Anfibi e Rettili)";"Vipera di roccia";"1";"46026";"(LE) Lento";"7,5m";"+5";"(SC) Saettante";"+80";"15";"nessuna armatura";"50";"(PU) Pungiglioni";"20";"";"";"";"piccolo";"normale";"Passivo, veleno lv20"
"Rávatsar (Anfibi e Rettili)";"Vipera di palude";"1";"46024";"(ME) Medio";"15m";"+10";"(VC) Molto veloce";"+60";"20";"nessuna armatura";"60";"(PU) Pungiglioni";"50";"";"";"";"piccolissimo";"normale";"Veleno muscolare lv10"
"Rávatsar (Anfibi e Rettili)";"Zanna lenta";"10";"46024";"(ME) Medio";"15m";"+10";"(MV) Med. veloce";"+20";"120";"cuoio rinforzato";"30";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"80";"(MO) Morso";"90";"";"medio";"grandi";"Aggressivo, veleno lv2"
"Rávatsar (Anfibi e Rettili)";"Zamka, Zamkavi";"1";"46024";"(MV) Med. veloce";"22,5m";"+20";"(VC) Molto veloce";"+60";"30";"nessuna armatura";"30";"(PR) Immobilizzare/Afferrare/Avviluppare/Inghiottire";"40";"";"";"";"medio";"normale";"Intrappolatore, veleno lv7"
"Rávatsar (Anfibi e Rettili)";"Zurku, Zurkuvi";"1";"46024";"(ME) Medio";"15m";"+10";"(VE) Veloce";"+40";"25";"nessuna armatura";"40";"(AR) Artigli/Unghie";"30";"";"";"";"piccolo";"normale";"Lucertola, veleno lv1"
"Apsanakûni (Carnivori)";"Cane dei Dunmen";"1";"46032";"(ME) Medio";"15m";"+10";"(MV) Med. veloce";"+20";"40";"nessuna armatura";"40";"(MO) Morso";"45";"";"";"";"piccolo";"normale";"Domestico"
"Apsanakûni (Carnivori)";"Cane pastore, segugio";"5";"46027";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"140";"nessuna armatura";"55";"(MO) Morso";"80";"";"";"";"medio";"normale";"Intelligente, leale, feroce"
"Apsanakûni (Carnivori)";"Chatmoig, Chetmíg";"5";"46024";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"150";"cuoio morbido";"30";"(AR) Artigli/Unghie";"75";"(MO) Morso";"100";"(sp)";"grande";"grandi";"Aggressivo, notturno"
"Apsanakûni (Carnivori)";"Chatmoig gigante";"18";"1";"(SC) Saettante";"45m";"+50";"(SC) Saettante";"+80";"180";"cuoio morbido";"65";"(AR) Artigli/Unghie";"130";"(MO) Morso";"100";"(sp)";"grande";"grandi";"Territoriale, notturno"
"Apsanakûni (Carnivori)";"Gaich, Gích, Volpe";"2";"46024";"(VE) Veloce";"30m";"+30";"(VC) Molto veloce";"+60";"45";"nessuna armatura";"50";"(MO) Morso";"40";"(AR) Artigli/Unghie";"40";"";"medio";"normale";"Normale, comune"
"Apsanakûni (Carnivori)";"Gatto pescatore";"1";"46027";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"50";"nessuna armatura";"50";"(AR) Artigli/Unghie";"30";"(MO) Morso";"20";"";"medio";"normale";"Normali, addomesticabile"
"Apsanakûni (Carnivori)";"Gatto delle pianure";"3";"46032";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"100";"nessuna armatura";"50";"(AR) Artigli/Unghie";"40";"(MO) Morso";"60";"";"medio";"normale";"Aggressivo"
"Apsanakûni (Carnivori)";"Glutan (pl –i), Ghiottone";"4";"46024";"(VE) Veloce";"30m";"+30";"(VC) Molto veloce";"+60";"50";"nessuna armatura";"50";"(MO) Morso";"50";"(AR) Artigli/Unghie";"45";"";"medio";"normale";"Aggressivo"
"Apsanakûni (Carnivori)";"Leone maculato";"5";"46027";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"140";"cuoio morbido";"25";"(AR) Artigli/Unghie";"85";"(MO) Morso";"70";"";"grande";"normale";"Normale, astuto"
"Apsanakûni (Carnivori)";"Leone di montagna, Ralimba";"5";"46024";"(VE) Veloce";"30m";"+30";"(MV) Med. veloce";"+20";"140";"cuoio morbido";"20";"(MO) Morso";"85";"(AR) Artigli/Unghie";"70";"";"grande";"normale";"Solitario, bianco"
"Apsanakûni (Carnivori)";"Lince degli altopiani";"3";"46063";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"70";"nessuna armatura";"55";"(AR) Artigli/Unghie";"45";"(MO) Morso";"30";"";"medio";"normale";"Aggressivo, branco"
"Apsanakûni (Carnivori)";"Lisica, Lisicavi,";"3";"46027";"(VE) Veloce";"30m";"+30";"(VC) Molto veloce";"+60";"45";"nessuna armatura";"50";"(MO) Morso";"60";"";"";"";"piccolo";"normale";"Piccola volpe dell’harad"
"Apsanakûni (Carnivori)";"Lontra blu";"4";"46025";"(MV) Med. veloce";"22,5m";"+20";"(MV) Med. veloce";"+20";"80";"nessuna armatura";"30";"(AR) Artigli/Unghie";"40";"(MO) Morso";"40";"";"medio";"normale";"Normale"
"Apsanakûni (Carnivori)";"Lupo bianco";"8";"46042";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"170";"cuoio morbido";"70";"(MO) Morso";"90";"(AR) Artigli/Unghie";"80";"";"grande";"normale";"Aggressivo, pericoloso"
"Apsanakûni (Carnivori)";"Lupo feroce adulto";"4";"46073";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"80";"cuoio morbido";"45";"(MO) Morso";"75";"(AR) Artigli/Unghie";"45";"";"grande";"grandi";"Aggressivo, branco"
"Apsanakûni (Carnivori)";"Lupo feroce giovane";"2";"46042";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"60";"cuoio morbido";"40";"(MO) Morso";"60";"";"";"";"grande";"normale";"Socievole"
"Apsanakûni (Carnivori)";"Lupo grigio";"3";"46065";"(VE) Veloce";"30m";"+30";"(VE) Veloce";"+40";"110";"cuoio morbido";"30";"(MO) Morso";"55";"(AR) Artigli/Unghie";"30";"";"grande";"normale";"Aggressivo, branco"
"Apsanakûni (Carnivori)";"Lupo da guerra";"7";"46032";"(VC) Molto veloce";"37,5m";"+40";"(VC) Molto veloce";"+60";"170";"cuoio morbido";"50";"(MO) Morso";"85";"(AR) Artigli/Unghie";"60";"";"grande";"grandi";"Violento, astuto"
"Apsanakûni (Carnivori)";"Lupo rosso";"5";"46073";"(VC) Molto veloce";"37,5m";"+40";"(VE) Veloce";"+40";"130";"cuoio morbido";"45";"(MO) Morso";"70";"(AR) Artigli/Unghie";"55";"";"grande";"normale";"Aggressivo, intelligente"
