"abilita";"professione";"lvl1";"lvl2";"lvl3";"lvl4";"lvl5";"lvl6";"lvl7";"lvl8";"lvl9";"lvl10";"lvl10"
"Corazza di maglia";"bardo";"-70";"-70";"-70";"-70";"-70";"-70";"-70";"-70";"-70";"-70";"-70"
"Corazza di maglia";"animista";"-35";"-35";"-35";"-35";"-35";"-35";"-35";"-35";"-35";"-35";"-35"
"Corazza di maglia";"ranger";"-30";"-30";"-30";"-25";"-20";"-15";"-5";"+0";"+0";"+0";"+0"
"Corazza di maglia";"guerriero";"-25";"-15";"+0";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5"
"Corazza di maglia";"scout";"-30";"-30";"-30";"-30";"-30";"-25";"-20";"-15";"-10";"-5";"-5"
"Corazza di piastre";"mago";"-85";"-85";"-85";"-85";"-85";"-85";"-85";"-85";"-85";"-85";"-85"
"Corazza di piastre";"bardo";"-85";"-85";"-85";"-85";"-85";"-85";"-85";"-85";"-85";"-85";"-85"
"Corazza di piastre";"animista";"-80";"-80";"-80";"-80";"-80";"-80";"-80";"-80";"-80";"-80";"-80"
"Corazza di piastre";"ranger";"-75";"-75";"-75";"-75";"-75";"-75";"-75";"-45";"-35";"-25";"-25"
"Corazza di piastre";"guerriero";"-70";"-70";"-70";"-35";"-20";"-5";"+0";"+0";"+0";"+0";"+0"
"Corazza di piastre";"scout";"-75";"-75";"-75";"-75";"-75";"-75";"-75";"-75";"-75";"-75";"-75"
"Bonus difensivo";"mago";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+5";"+5"
"Bonus difensivo";"bardo";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+5";"+5"
"Bonus difensivo";"animista";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+5";"+5"
"Bonus difensivo";"ranger";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+10";"+10"
"Bonus difensivo";"guerriero";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+15";"+15"
"Bonus difensivo";"scout";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+20";"+20"
"Arma primaria";"mago";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5"
"Arma primaria";"bardo";"+11";"+17";"+23";"+29";"+35";"+41";"+47";"+53";"+59";"+62";"+62"
"Arma primaria";"animista";"+15";"+20";"+25";"+30";"+35";"+40";"+45";"+50";"+55";"+57";"+57"
"Arma primaria";"ranger";"+42";"+54";"+66";"+78";"+85";"+89";"+93";"+97";"+101";"+105";"+105"
"Arma primaria";"guerriero";"+43";"+56";"+69";"+82";"+95";"+100";"+105";"+110";"+115";"+120";"+120"
"Arma primaria";"scout";"+41";"+52";"+63";"+74";"+80";"+83";"+86";"+89";"+92";"+95";"+95"
"Arma secondaria";"mago";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10"
"Arma secondaria";"bardo";"+16";"+22";"+28";"+34";"+40";"+46";"+52";"+58";"+64";"+67";"+67"
"Arma secondaria";"animista";"+15";"+20";"+25";"+30";"+35";"+40";"+45";"+50";"+55";"+57";"+57"
"Arma secondaria";"ranger";"+22";"+29";"+36";"+43";"+50";"+57";"+64";"+71";"+78";"+82";"+82"
"Arma secondaria";"guerriero";"+28";"+36";"+44";"+52";"+60";"+73";"+86";"+91";"+96";"+101";"+101"
"Arma secondaria";"scout";"+31";"+37";"+43";"+49";"+55";"+61";"+67";"+73";"+79";"+82";"+82"
"Arma terziaria";"mago";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25"
"Arma terziaria";"bardo";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25"
"Arma terziaria";"animista";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10"
"Arma terziaria";"ranger";"+17";"+19";"+21";"+23";"+30";"+37";"+44";"+51";"+58";"+65";"+65"
"Arma terziaria";"guerriero";"+33";"+41";"+49";"+57";"+65";"+73";"+81";"+94";"+97";"+100";"+100"
"Arma terziaria";"scout";"+21";"+22";"+23";"+24";"+30";"+36";"+42";"+48";"+54";"+60";"+60"
"Arma altre";"mago";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25"
"Arma altre";"bardo";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"-25"
"Arma altre";"animista";"-20";"-20";"-20";"-20";"-20";"-20";"-20";"-20";"-20";"-20";"-20"
"Arma altre";"ranger";"-8";"-6";"-4";"-2";"+0";"+2";"+4";"+6";"+8";"+10";"+10"
"Arma altre";"guerriero";"+28";"+31";"+34";"+37";"+40";"+43";"+46";"+49";"+57";"+65";"+65"
"Arma altre";"scout";"-10";"-10";"-10";"-10";"-10";"-10";"-10";"-10";"-10";"-10";"-10"
"Arrampicarsi";"mago";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10"
"Arrampicarsi";"bardo";"+6";"+7";"+13";"+19";"+25";"+31";"+37";"+43";"+49";"+55";"+55"
"Arrampicarsi";"animista";"+11";"+12";"+18";"+24";"+25";"+31";"+37";"+38";"+44";"+50";"+50"
"Arrampicarsi";"ranger";"+13";"+21";"+29";"+37";"+45";"+53";"+61";"+69";"+77";"+85";"+85"
"Arrampicarsi";"guerriero";"+16";"+22";"+23";"+24";"+25";"+31";"+32";"+33";"+34";"+40";"+40"
"Arrampicarsi";"scout";"+21";"+27";"+33";"+39";"+45";"+51";"+57";"+63";"+69";"+75";"+75"
"Cavalcare";"mago";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10"
"Cavalcare";"bardo";"+6";"+12";"+13";"+19";"+25";"+31";"+37";"+43";"+49";"+55";"+55"
"Cavalcare";"animista";"+21";"+27";"+28";"+34";"+40";"+41";"+47";"+53";"+59";"+65";"+65"
"Cavalcare";"ranger";"+18";"+26";"+34";"+42";"+50";"+58";"+66";"+74";"+82";"+87";"+87"
"Cavalcare";"guerriero";"+6";"+12";"+18";"+24";"+30";"+36";"+42";"+48";"+54";"+60";"+60"
"Cavalcare";"scout";"+6";"+12";"+18";"+24";"+30";"+36";"+42";"+48";"+54";"+60";"+60"
"Nuotare";"mago";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10"
"Nuotare";"bardo";"+6";"+7";"+8";"+9";"+10";"+11";"+12";"+13";"+14";"+15";"+15"
"Nuotare";"animista";"+11";"+12";"+13";"+14";"+15";"+16";"+17";"+18";"+19";"+20";"+20"
"Nuotare";"ranger";"+13";"+16";"+19";"+22";"+25";"+28";"+31";"+34";"+37";"+40";"+40"
"Nuotare";"guerriero";"+16";"+17";"+18";"+19";"+20";"+21";"+22";"+23";"+24";"+25";"+25"
"Nuotare";"scout";"+21";"+22";"+23";"+24";"+25";"+26";"+27";"+28";"+29";"+30";"+30"
"Seguire tracce";"mago";"+20";"+20";"+20";"+20";"+20";"+20";"+20";"+20";"+20";"+20";"+20"
"Seguire tracce";"bardo";"+11";"+12";"+13";"+14";"+15";"+16";"+17";"+18";"+19";"+20";"+20"
"Seguire tracce";"animista";"+11";"+12";"+13";"+14";"+15";"+16";"+17";"+18";"+19";"+20";"+20"
"Seguire tracce";"ranger";"+8";"+16";"+24";"+32";"+40";"+48";"+56";"+64";"+72";"+80";"+80"
"Seguire tracce";"guerriero";"+6";"+7";"+13";"+14";"+20";"+21";"+27";"+28";"+34";"+35";"+35"
"Seguire tracce";"scout";"+6";"+12";"+18";"+24";"+25";"+26";"+27";"+33";"+39";"+45";"+45"
"Cogliere alle spalle";"mago";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0"
"Cogliere alle spalle";"bardo";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0"
"Cogliere alle spalle";"animista";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0"
"Cogliere alle spalle";"ranger";"+0";"+0";"+0";"+2";"+2";"+2";"+3";"+4";"+5";"+6";"+6"
"Cogliere alle spalle";"guerriero";"+0";"+0";"+0";"+1";"+1";"+1";"+1";"+2";"+2";"+2";"+2"
"Cogliere alle spalle";"scout";"+1";"+2";"+3";"+4";"+5";"+6";"+7";"+8";"+9";"+10";"+10"
"Muoversi silenziosamente";"mago";"-20";"-20";"-20";"-20";"-20";"-20";"+10";"+10";"+10";"+10";"+10"
"Nascondersi";"mago";"-20";"-20";"-20";"-20";"-20";"-20";"+10";"+10";"+10";"+10";"+10"
"Muoversi silenziosamente";"bardo";"+16";"+17";"+23";"+29";"+30";"+36";"+42";"+43";"+49";"+55";"+55"
"Nascondersi";"bardo";"+16";"+17";"+23";"+29";"+30";"+36";"+42";"+43";"+49";"+55";"+55"
"Muoversi silenziosamente";"animista";"+5";"+5";"+10";"+15";"+20";"+25";"+30";"+35";"+40";"+45";"+45"
"Nascondersi";"animista";"+5";"+5";"+10";"+15";"+20";"+25";"+30";"+35";"+40";"+45";"+45"
"Muoversi silenziosamente";"ranger";"+12";"+19";"+26";"+33";"+40";"+47";"+54";"+61";"+68";"+72";"+72"
"Nascondersi";"ranger";"+12";"+19";"+26";"+33";"+40";"+47";"+54";"+61";"+68";"+72";"+72"
"Muoversi silenziosamente";"guerriero";"+5";"+10";"+10";"+15";"+15";"+20";"+20";"+25";"+25";"+30";"+30"
"Nascondersi";"guerriero";"+5";"+10";"+10";"+15";"+15";"+20";"+20";"+25";"+25";"+30";"+30"
"Muoversi silenziosamente";"scout";"+12";"+19";"+26";"+28";"+35";"+42";"+49";"+56";"+43";"+70";"+70"
"Nascondersi";"scout";"+12";"+19";"+26";"+28";"+35";"+42";"+49";"+56";"+43";"+70";"+70"
"Scassinare serrature";"mago";"-10";"-10";"-10";"-10";"-10";"-10";"+20";"+20";"+20";"+20";"+20"
"Scassinare serrature";"bardo";"+16";"+22";"+23";"+29";"+35";"+36";"+42";"+48";"+49";"+55";"+55"
"Scassinare serrature";"animista";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10"
"Scassinare serrature";"ranger";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5";"+5"
"Scassinare serrature";"guerriero";"+5";"+5";"+10";"+10";"+15";"+15";"+20";"+20";"+25";"+25";"+25"
"Scassinare serrature";"scout";"+7";"+14";"+21";"+28";"+35";"+42";"+49";"+56";"+63";"+70";"+70"
"Disattivare trappole";"mago";"-20";"-20";"-20";"-20";"-20";"-20";"+10";"+10";"+10";"+10";"+10"
"Disattivare trappole";"bardo";"-19";"+12";"+18";"+19";"+25";"+31";"+32";"+38";"+44";"+45";"+45"
"Disattivare trappole";"animista";"-10";"+20";"+20";"+20";"+20";"+20";"+20";"+20";"+20";"+20";"+20"
"Disattivare trappole";"ranger";"-20";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10";"+10"
"Disattivare trappole";"guerriero";"+5";"+5";"+10";"+10";"+15";"+15";"+20";"+20";"+25";"+25";"+25"
"Disattivare trappole";"scout";"+7";"+14";"+21";"+28";"+35";"+42";"+49";"+56";"+63";"+70";"+70"
"Lettura rune";"mago";"+0";"+0";"+27";"+34";"+0";"+0";"+0";"+81";"+87";"+0";"+0"
"Lettura rune";"bardo";"+21";"+27";"+33";"+39";"+45";"+51";"+57";"+63";"+69";"+72";"+72"
"Lettura rune";"animista";"+11";"+12";"+18";"+24";"+30";"+36";"+42";"+48";"+54";"+60";"+60"
"Lettura rune";"ranger";"-25";"-25";"-25";"-25";"+5";"+5";"+5";"+5";"+5";"+5";"+5"
"Lettura rune";"guerriero";"-25";"-25";"-25";"-25";"-25";"-25";"+5";"+5";"+10";"+10";"+10"
"Lettura rune";"scout";"-25";"-25";"-25";"-25";"+5";"+5";"+5";"+5";"+5";"+5";"+5"
"Uso oggetti magici";"mago";"+17";"+24";"+0";"+0";"+0";"+0";"+69";"+73";"+77";"+0";"+0"
"Uso oggetti magici";"bardo";"+16";"+22";"+28";"+34";"+40";"+46";"+52";"+58";"+64";"+67";"+67"
"Uso oggetti magici";"animista";"+21";"+27";"+28";"+34";"+40";"+46";"+52";"+58";"+64";"+70";"+70"
"Uso oggetti magici";"ranger";"-20";"-20";"-20";"-20";"-20";"+10";"+10";"+10";"+10";"+10";"+10"
"Uso oggetti magici";"guerriero";"-25";"-25";"-25";"-25";"-25";"-25";"-25";"+5";"+5";"+10";"+10"
"Uso oggetti magici";"scout";"-25";"-25";"-25";"-25";"-25";"+5";"+5";"+5";"+5";"+5";"+5"
"Incantesimi diretti";"mago";"+18";"+31";"+0";"+0";"+0";"+0";"+80";"+85";"+90";"+95";"+95"
"Incantesimi diretti";"bardo";"-19";"-18";"+13";"+14";"+15";"+16";"+17";"+18";"+19";"+20";"+20"
"Incantesimi diretti";"animista";"-18";"+14";"+21";"+23";"+25";"+27";"+29";"+31";"+33";"+35";"+35"
"Incantesimi diretti";"ranger";"-20";"-20";"-20";"-20";"-20";"-20";"-20";"-20";"-20";"-20";"-20"
"Incantesimi diretti";"guerriero";"-15";"-15";"-15";"-15";"-15";"-15";"-15";"-15";"-15";"-15";"-15"
"Incantesimi diretti";"scout";"-10";"-10";"-10";"-10";"-10";"-10";"-10";"-10";"-10";"-10";"-10"
"Percezione";"mago";"+15";"+15";"+15";"+15";"+15";"+15";"+15";"+15";"+15";"+20";"+20"
"Percezione";"bardo";"+16";"+22";"+28";"+34";"+40";"+46";"+52";"+58";"+64";"+67";"+67"
"Percezione";"animista";"+21";"+27";"+33";"+34";"+40";"+46";"+47";"+53";"+59";"+65";"+65"
"Percezione";"ranger";"+12";"+19";"+26";"+33";"+40";"+47";"+54";"+61";"+68";"+72";"+72"
"Percezione";"guerriero";"+5";"+10";"+10";"+15";"+15";"+20";"+20";"+25";"+25";"+30";"+30"
"Percezione";"scout";"+13";"+21";"+29";"+37";"+45";"+48";"+51";"+59";"+67";"+75";"+75"
"Resistenza fisica (PF)";"mago";"+16";"+22";"+22";"+22";"+49";"+55";"+60";"+66";"+66";"+66";"+66"
"Resistenza fisica (PF)";"bardo";"+16";"+22";"+27";"+33";"+38";"+44";"+49";"+55";"+60";"+66";"+66"
"Resistenza fisica (PF)";"animista";"+16";"+22";"+27";"+33";"+38";"+44";"+49";"+55";"+60";"+66";"+66"
"Resistenza fisica (PF)";"ranger";"+32";"+37";"+43";"+48";"+54";"+59";"+65";"+70";"+76";"+81";"+81"
"Resistenza fisica (PF)";"guerriero";"+34";"+47";"+60";"+73";"+86";"+99";"+106";"+114";"+121";"+129";"+129"
"Resistenza fisica (PF)";"scout";"+27";"+32";"+38";"+43";"+49";"+54";"+60";"+65";"+71";"+76";"+76"
"Incantesimi base";"mago";"+2";"+4";"+0";"+0";"+0";"+0";"+0";"+18";"+20";"+0";"+0"
"Incantesimi base";"bardo";"+1";"+2";"+3";"+4";"+5";"+6";"+7";"+8";"+9";"+10";"+10"
"Incantesimi base";"animista";"+2";"+4";"+6";"+8";"+10";"+12";"+14";"+16";"+18";"+20";"+20"
"Incantesimi base";"ranger";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0"
"Incantesimi base";"guerriero";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0"
"Incantesimi base";"scout";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0"
"Lingue";"mago";"+3";"+3";"+3";"+3";"+5";"+5";"+5";"+5";"+6";"+6";"+6"
"Lingue";"bardo";"+3";"+3";"+4";"+4";"+5";"+5";"+6";"+6";"+7";"+7";"+7"
"Lingue";"animista";"+2";"+2";"+2";"+3";"+3";"+3";"+4";"+4";"+4";"+5";"+5"
"Lingue";"ranger";"+2";"+2";"+2";"+2";"+3";"+3";"+3";"+3";"+3";"+4";"+4"
"Lingue";"guerriero";"+2";"+2";"+2";"+2";"+2";"+2";"+2";"+2";"+2";"+2";"+2"
"Lingue";"scout";"+2";"+2";"+2";"+2";"+3";"+3";"+3";"+3";"+4";"+4";"+4"
"Liste incantesimi";"mago";"+2";"+3";"+3";"+3";"+10";"+11";"+13";"+14";"+14";"+14";"+14"
"Liste incantesimi";"bardo";"+2";"+3";"+3";"+4";"+5";"+5";"+6";"+7";"+7";"+8";"+8"
"Liste incantesimi";"animista";"+2";"+3";"+4";"+6";"+7";"+8";"+9";"+10";"+11";"+11";"+11"
"Liste incantesimi";"ranger";"+0";"+0";"+0";"+0";"+2";"+2";"+3";"+4";"+4";"+5";"+5"
"Liste incantesimi";"guerriero";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0";"+0"
"Liste incantesimi";"scout";"+0";"+0";"+0";"+0";"+0";"+1";"+1";"+1";"+1";"+1";"+1"
