tipo_lista,nome_lista,livello,nome_incantesimo,tipo_incantesimo,preparazione_incantesimo,descrizione_incantesimo
Liste aperte Essenza,MANIPOLAZIONE,4,telecinesi,Forza,sì,"Un oggetto (fino a 2,5 Kg. di peso) può essere spostato di 30 cm al secondo, a velocità costante. Gli esseri viventi o gli oggetti in contatto con un essere vivente (cioè indossato o posseduto da questi) possono effettuare un TR, con i parametri dell'essere vivente. Se il personaggio che ha lanciato l'incantesimo smette di concentrarsi prima che ne siano esauriti gli effetti, l'oggetto si blocca, come se fosse sottoposto all'incantesimo Pressione."
Liste aperte Essenza,MANIPOLAZIONE,5,deflessione,Forza,istantaneo,"Chi lancia l'incantesimo può deviare una freccia o qualsiasi altra arma lanciata (anche un sasso) che passi a meno di 33 metri da lui, infliggendo una penalità di 100 al ""Tiro per Colpire""."
Liste aperte Essenza,MANIPOLAZIONE,6,vibrazioni,Forza,sì,"Come sopra, con un limite massimo di 9 Kg."
Liste aperte Essenza,MANIPOLAZIONE,7,devia lama,Passivo,istantaneo,"Come Deflessione, ecceto che devia un attacco in mischia."
Liste aperte Essenza,MANIPOLAZIONE,8,pressione,Forza,sì,"Come sopra, con un limite massimo di 9 Kg."
Liste aperte Essenza,MANIPOLAZIONE,9,telecinesi,Forza,sì,"Come sopra, con un limite massimo di 9 Kg."
Liste aperte Essenza,MANIPOLAZIONE,10,mira,Forza,istantaneo,"Come sopra, con un limite masimo di 9 Kg."
Lista Aperta Essenza,Illusioni,1,Illusioni1,,,
Lista Aperta Essenza,Illusioni,2,Illusioni2,,,
Lista Aperta Essenza,Illusioni,3,Illusioni3,,,
Lista Aperta Essenza,Illusioni,4,Illusioni4,,,
Lista Aperta Essenza,Illusioni,5,Illusioni5,,,
Lista Aperta Essenza,Illusioni,6,Illusioni6,,,
Lista Aperta Essenza,Illusioni,7,Illusioni7,,,
Lista Aperta Essenza,Illusioni,8,Illusioni8,,,
Lista Aperta Essenza,Illusioni,9,Illusioni9,,,
Lista Aperta Essenza,Illusioni,10,Illusioni10,,,
Lista Aperta Essenza,Formule di passaggio,1,Formule di passaggio1,,,
Lista Aperta Essenza,Formule di passaggio,2,Formule di passaggio2,,,
Lista Aperta Essenza,Formule di passaggio,3,Formule di passaggio3,,,
Lista Aperta Essenza,Formule di passaggio,4,Formule di passaggio4,,,
Lista Aperta Essenza,Formule di passaggio,5,Formule di passaggio5,,,
Lista Aperta Essenza,Formule di passaggio,6,Formule di passaggio6,,,
Lista Aperta Essenza,Formule di passaggio,7,Formule di passaggio7,,,
Lista Aperta Essenza,Formule di passaggio,8,Formule di passaggio8,,,
Lista Aperta Essenza,Formule di passaggio,9,Formule di passaggio9,,,
Lista Aperta Essenza,Formule di passaggio,10,Formule di passaggio10,,,
Lista Aperta Essenza,Formule d'incantesimo,1,Formule d'incantesimo1,,,
Lista Aperta Essenza,Formule d'incantesimo,2,Formule d'incantesimo2,,,
Lista Aperta Essenza,Formule d'incantesimo,3,Formule d'incantesimo3,,,
Lista Aperta Essenza,Formule d'incantesimo,4,Formule d'incantesimo4,,,
Lista Aperta Essenza,Formule d'incantesimo,5,Formule d'incantesimo5,,,
Lista Aperta Essenza,Formule d'incantesimo,6,Formule d'incantesimo6,,,
Lista Aperta Essenza,Formule d'incantesimo,7,Formule d'incantesimo7,,,
Lista Aperta Essenza,Formule d'incantesimo,8,Formule d'incantesimo8,,,
Lista Aperta Essenza,Formule d'incantesimo,9,Formule d'incantesimo9,,,
Lista Aperta Essenza,Formule d'incantesimo,10,Formule d'incantesimo10,,,
Lista Aperta Essenza,Formule dell'essenza,1,Formule dell'essenza1,,,
Lista Aperta Essenza,Formule dell'essenza,2,Formule dell'essenza2,,,
Lista Aperta Essenza,Formule dell'essenza,3,Formule dell'essenza3,,,
Lista Aperta Essenza,Formule dell'essenza,4,Formule dell'essenza4,,,
Lista Aperta Essenza,Formule dell'essenza,5,Formule dell'essenza5,,,
Lista Aperta Essenza,Formule dell'essenza,6,Formule dell'essenza6,,,
Lista Aperta Essenza,Formule dell'essenza,7,Formule dell'essenza7,,,
Lista Aperta Essenza,Formule dell'essenza,8,Formule dell'essenza8,,,
Lista Aperta Essenza,Formule dell'essenza,9,Formule dell'essenza9,,,
Lista Aperta Essenza,Formule dell'essenza,10,Formule dell'essenza10,,,
Lista Aperta Essenza,Controllo spirituale,1,Controllo spirituale1,,,
Lista Aperta Essenza,Controllo spirituale,2,Controllo spirituale2,,,
Lista Aperta Essenza,Controllo spirituale,3,Controllo spirituale3,,,
Lista Aperta Essenza,Controllo spirituale,4,Controllo spirituale4,,,
Lista Aperta Essenza,Controllo spirituale,5,Controllo spirituale5,,,
Lista Aperta Essenza,Controllo spirituale,6,Controllo spirituale6,,,
Lista Aperta Essenza,Controllo spirituale,7,Controllo spirituale7,,,
Lista Aperta Essenza,Controllo spirituale,8,Controllo spirituale8,,,
Lista Aperta Essenza,Controllo spirituale,9,Controllo spirituale9,,,
Lista Aperta Essenza,Controllo spirituale,10,Controllo spirituale10,,,
Lista Aperta Essenza,Percezione dell'essenza,1,Percezione dell'essenza1,,,
Lista Aperta Essenza,Percezione dell'essenza,2,Percezione dell'essenza2,,,
Lista Aperta Essenza,Percezione dell'essenza,3,Percezione dell'essenza3,,,
Lista Aperta Essenza,Percezione dell'essenza,4,Percezione dell'essenza4,,,
Lista Aperta Essenza,Percezione dell'essenza,5,Percezione dell'essenza5,,,
Lista Aperta Essenza,Percezione dell'essenza,6,Percezione dell'essenza6,,,
Lista Aperta Essenza,Percezione dell'essenza,7,Percezione dell'essenza7,,,
Lista Aperta Essenza,Percezione dell'essenza,8,Percezione dell'essenza8,,,
Lista Aperta Essenza,Percezione dell'essenza,9,Percezione dell'essenza9,,,
Lista Aperta Essenza,Percezione dell'essenza,10,Percezione dell'essenza10,,,
Maghi,Geomanzia,1,Geomanzia1,,,
Maghi,Geomanzia,2,Geomanzia2,,,
Maghi,Geomanzia,3,Geomanzia3,,,
Maghi,Geomanzia,4,Geomanzia4,,,
Maghi,Geomanzia,5,Geomanzia5,,,
Maghi,Geomanzia,6,Geomanzia6,,,
Maghi,Geomanzia,7,Geomanzia7,,,
Maghi,Geomanzia,8,Geomanzia8,,,
Maghi,Geomanzia,9,Geomanzia9,,,
Maghi,Geomanzia,10,Geomanzia10,,,
Maghi,Criomanzia,1,Criomanzia1,,,
Maghi,Criomanzia,2,Criomanzia2,,,
Maghi,Criomanzia,3,Criomanzia3,,,
Maghi,Criomanzia,4,Criomanzia4,,,
Maghi,Criomanzia,5,Criomanzia5,,,
Maghi,Criomanzia,6,Criomanzia6,,,
Maghi,Criomanzia,7,Criomanzia7,,,
Maghi,Criomanzia,8,Criomanzia8,,,
Maghi,Criomanzia,9,Criomanzia9,,,
Maghi,Criomanzia,10,Criomanzia10,,,
Maghi,Fotomanzia,1,Fotomanzia1,,,
Maghi,Fotomanzia,2,Fotomanzia2,,,
Maghi,Fotomanzia,3,Fotomanzia3,,,
Maghi,Fotomanzia,4,Fotomanzia4,,,
Maghi,Fotomanzia,5,Fotomanzia5,,,
Maghi,Fotomanzia,6,Fotomanzia6,,,
Maghi,Fotomanzia,7,Fotomanzia7,,,
Maghi,Fotomanzia,8,Fotomanzia8,,,
Maghi,Fotomanzia,9,Fotomanzia9,,,
Maghi,Fotomanzia,10,Fotomanzia10,,,
Maghi,Piromanzia,1,Piromanzia1,,,
Maghi,Piromanzia,2,Piromanzia2,,,
Maghi,Piromanzia,3,Piromanzia3,,,
Maghi,Piromanzia,4,Piromanzia4,,,
Maghi,Piromanzia,5,Piromanzia5,,,
Maghi,Piromanzia,6,Piromanzia6,,,
Maghi,Piromanzia,7,Piromanzia7,,,
Maghi,Piromanzia,8,Piromanzia8,,,
Maghi,Piromanzia,9,Piromanzia9,,,
Maghi,Piromanzia,10,Piromanzia10,,,
Maghi,Ponte arcano,1,Ponte arcano1,,,
Maghi,Ponte arcano,2,Ponte arcano2,,,
Maghi,Ponte arcano,3,Ponte arcano3,,,
Maghi,Ponte arcano,4,Ponte arcano4,,,
Maghi,Ponte arcano,5,Ponte arcano5,,,
Maghi,Ponte arcano,6,Ponte arcano6,,,
Maghi,Ponte arcano,7,Ponte arcano7,,,
Maghi,Ponte arcano,8,Ponte arcano8,,,
Maghi,Ponte arcano,9,Ponte arcano9,,,
Maghi,Ponte arcano,10,Ponte arcano10,,,
Bardi,Canti del potere,1,Canti del potere1,,,
Bardi,Canti del potere,2,Canti del potere2,,,
Bardi,Canti del potere,3,Canti del potere3,,,
Bardi,Canti del potere,4,Canti del potere4,,,
Bardi,Canti del potere,5,Canti del potere5,,,
Bardi,Canti del potere,6,Canti del potere6,,,
Bardi,Canti del potere,7,Canti del potere7,,,
Bardi,Canti del potere,8,Canti del potere8,,,
Bardi,Canti del potere,9,Canti del potere9,,,
Bardi,Canti del potere,10,Canti del potere10,,,
Lista Aperta Flusso,Formule sensorie,1,Formule sensorie1,,,
Lista Aperta Flusso,Formule sensorie,2,Formule sensorie2,,,
Lista Aperta Flusso,Formule sensorie,3,Formule sensorie3,,,
Lista Aperta Flusso,Formule sensorie,4,Formule sensorie4,,,
Lista Aperta Flusso,Formule sensorie,5,Formule sensorie5,,,
Lista Aperta Flusso,Formule sensorie,6,Formule sensorie6,,,
Lista Aperta Flusso,Formule sensorie,7,Formule sensorie7,,,
Lista Aperta Flusso,Formule sensorie,8,Formule sensorie8,,,
Lista Aperta Flusso,Formule sensorie,9,Formule sensorie9,,,
Lista Aperta Flusso,Formule sensorie,10,Formule sensorie10,,,
Lista Aperta Flusso,Pacificazione,1,Pacificazione1,,,
Lista Aperta Flusso,Pacificazione,2,Pacificazione2,,,
Lista Aperta Flusso,Pacificazione,3,Pacificazione3,,,
Lista Aperta Flusso,Pacificazione,4,Pacificazione4,,,
Lista Aperta Flusso,Pacificazione,5,Pacificazione5,,,
Lista Aperta Flusso,Pacificazione,6,Pacificazione6,,,
Lista Aperta Flusso,Pacificazione,7,Pacificazione7,,,
Lista Aperta Flusso,Pacificazione,8,Pacificazione8,,,
Lista Aperta Flusso,Pacificazione,9,Pacificazione9,,,
Lista Aperta Flusso,Pacificazione,10,Pacificazione10,,,
Lista Aperta Flusso,Arti della guarigione,1,Arti della guarigione1,,,
Lista Aperta Flusso,Arti della guarigione,2,Arti della guarigione2,,,
Lista Aperta Flusso,Arti della guarigione,3,Arti della guarigione3,,,
Lista Aperta Flusso,Arti della guarigione,4,Arti della guarigione4,,,
Lista Aperta Flusso,Arti della guarigione,5,Arti della guarigione5,,,
Lista Aperta Flusso,Arti della guarigione,6,Arti della guarigione6,,,
Lista Aperta Flusso,Arti della guarigione,7,Arti della guarigione7,,,
Lista Aperta Flusso,Arti della guarigione,8,Arti della guarigione8,,,
Lista Aperta Flusso,Arti della guarigione,9,Arti della guarigione9,,,
Lista Aperta Flusso,Arti della guarigione,10,Arti della guarigione10,,,
Lista Aperta Flusso,Protezioni,1,Protezioni1,,,
Lista Aperta Flusso,Protezioni,2,Protezioni2,,,
Lista Aperta Flusso,Protezioni,3,Protezioni3,,,
Lista Aperta Flusso,Protezioni,4,Protezioni4,,,
Lista Aperta Flusso,Protezioni,5,Protezioni5,,,
Lista Aperta Flusso,Protezioni,6,Protezioni6,,,
Lista Aperta Flusso,Protezioni,7,Protezioni7,,,
Lista Aperta Flusso,Protezioni,8,Protezioni8,,,
Lista Aperta Flusso,Protezioni,9,Protezioni9,,,
Lista Aperta Flusso,Protezioni,10,Protezioni10,,,
Lista Aperta Flusso,Difesa magica,1,Difesa magica1,,,
Lista Aperta Flusso,Difesa magica,2,Difesa magica2,,,
Lista Aperta Flusso,Difesa magica,3,Difesa magica3,,,
Lista Aperta Flusso,Difesa magica,4,Difesa magica4,,,
Lista Aperta Flusso,Difesa magica,5,Difesa magica5,,,
Lista Aperta Flusso,Difesa magica,6,Difesa magica6,,,
Lista Aperta Flusso,Difesa magica,7,Difesa magica7,,,
Lista Aperta Flusso,Difesa magica,8,Difesa magica8,,,
Lista Aperta Flusso,Difesa magica,9,Difesa magica9,,,
Lista Aperta Flusso,Difesa magica,10,Difesa magica10,,,
Lista Aperta Flusso,Moti naturali,1,Moti naturali1,,,
Lista Aperta Flusso,Moti naturali,2,Moti naturali2,,,
Lista Aperta Flusso,Moti naturali,3,Moti naturali3,,,
Lista Aperta Flusso,Moti naturali,4,Moti naturali4,,,
Lista Aperta Flusso,Moti naturali,5,Moti naturali5,,,
Lista Aperta Flusso,Moti naturali,6,Moti naturali6,,,
Lista Aperta Flusso,Moti naturali,7,Moti naturali7,,,
Lista Aperta Flusso,Moti naturali,8,Moti naturali8,,,
Lista Aperta Flusso,Moti naturali,9,Moti naturali9,,,
Lista Aperta Flusso,Moti naturali,10,Moti naturali10,,,
Lista Aperta Flusso,Ecomanzia,1,Ecomanzia1,,,
Lista Aperta Flusso,Ecomanzia,2,Ecomanzia2,,,
Lista Aperta Flusso,Ecomanzia,3,Ecomanzia3,,,
Lista Aperta Flusso,Ecomanzia,4,Ecomanzia4,,,
Lista Aperta Flusso,Ecomanzia,5,Ecomanzia5,,,
Lista Aperta Flusso,Ecomanzia,6,Ecomanzia6,,,
Lista Aperta Flusso,Ecomanzia,7,Ecomanzia7,,,
Lista Aperta Flusso,Ecomanzia,8,Ecomanzia8,,,
Lista Aperta Flusso,Ecomanzia,9,Ecomanzia9,,,
Lista Aperta Flusso,Ecomanzia,10,Ecomanzia10,,,
Animisti,Botanomanzia,1,Botanomanzia1,,,
Animisti,Botanomanzia,2,Botanomanzia2,,,
Animisti,Botanomanzia,3,Botanomanzia3,,,
Animisti,Botanomanzia,4,Botanomanzia4,,,
Animisti,Botanomanzia,5,Botanomanzia5,,,
Animisti,Botanomanzia,6,Botanomanzia6,,,
Animisti,Botanomanzia,7,Botanomanzia7,,,
Animisti,Botanomanzia,8,Botanomanzia8,,,
Animisti,Botanomanzia,9,Botanomanzia9,,,
Animisti,Botanomanzia,10,Botanomanzia10,,,
Animisti,Flusso diretto,1,Flusso diretto1,,,
Animisti,Flusso diretto,2,Flusso diretto2,,,
Animisti,Flusso diretto,3,Flusso diretto3,,,
Animisti,Flusso diretto,4,Flusso diretto4,,,
Animisti,Flusso diretto,5,Flusso diretto5,,,
Animisti,Flusso diretto,6,Flusso diretto6,,,
Animisti,Flusso diretto,7,Flusso diretto7,,,
Animisti,Flusso diretto,8,Flusso diretto8,,,
Animisti,Flusso diretto,9,Flusso diretto9,,,
Animisti,Flusso diretto,10,Flusso diretto10,,,
Animisti,Controllo animale,1,Controllo animale1,,,
Animisti,Controllo animale,2,Controllo animale2,,,
Animisti,Controllo animale,3,Controllo animale3,,,
Animisti,Controllo animale,4,Controllo animale4,,,
Animisti,Controllo animale,5,Controllo animale5,,,
Animisti,Controllo animale,6,Controllo animale6,,,
Animisti,Controllo animale,7,Controllo animale7,,,
Animisti,Controllo animale,8,Controllo animale8,,,
Animisti,Controllo animale,9,Controllo animale9,,,
Animisti,Controllo animale,10,Controllo animale10,,,
Animisti,Fisiorigenerazione,1,Fisiorigenerazione1,,,
Animisti,Fisiorigenerazione,2,Fisiorigenerazione2,,,
Animisti,Fisiorigenerazione,3,Fisiorigenerazione3,,,
Animisti,Fisiorigenerazione,4,Fisiorigenerazione4,,,
Animisti,Fisiorigenerazione,5,Fisiorigenerazione5,,,
Animisti,Fisiorigenerazione,6,Fisiorigenerazione6,,,
Animisti,Fisiorigenerazione,7,Fisiorigenerazione7,,,
Animisti,Fisiorigenerazione,8,Fisiorigenerazione8,,,
Animisti,Fisiorigenerazione,9,Fisiorigenerazione9,,,
Animisti,Fisiorigenerazione,10,Fisiorigenerazione10,,,
Animisti,Emorigenerazione,1,Emorigenerazione1,,,
Animisti,Emorigenerazione,2,Emorigenerazione2,,,
Animisti,Emorigenerazione,3,Emorigenerazione3,,,
Animisti,Emorigenerazione,4,Emorigenerazione4,,,
Animisti,Emorigenerazione,5,Emorigenerazione5,,,
Animisti,Emorigenerazione,6,Emorigenerazione6,,,
Animisti,Emorigenerazione,7,Emorigenerazione7,,,
Animisti,Emorigenerazione,8,Emorigenerazione8,,,
Animisti,Emorigenerazione,9,Emorigenerazione9,,,
Animisti,Emorigenerazione,10,Emorigenerazione10,,,
Animisti,Rigenerazione organica,1,Rigenerazione organica1,,,
Animisti,Rigenerazione organica,2,Rigenerazione organica2,,,
Animisti,Rigenerazione organica,3,Rigenerazione organica3,,,
Animisti,Rigenerazione organica,4,Rigenerazione organica4,,,
Animisti,Rigenerazione organica,5,Rigenerazione organica5,,,
Animisti,Rigenerazione organica,6,Rigenerazione organica6,,,
Animisti,Rigenerazione organica,7,Rigenerazione organica7,,,
Animisti,Rigenerazione organica,8,Rigenerazione organica8,,,
Animisti,Rigenerazione organica,9,Rigenerazione organica9,,,
Animisti,Rigenerazione organica,10,Rigenerazione organica10,,,
Animisti,Purificazioni,1,Purificazioni1,,,
Animisti,Purificazioni,2,Purificazioni2,,,
Animisti,Purificazioni,3,Purificazioni3,,,
Animisti,Purificazioni,4,Purificazioni4,,,
Animisti,Purificazioni,5,Purificazioni5,,,
Animisti,Purificazioni,6,Purificazioni6,,,
Animisti,Purificazioni,7,Purificazioni7,,,
Animisti,Purificazioni,8,Purificazioni8,,,
Animisti,Purificazioni,9,Purificazioni9,,,
Animisti,Purificazioni,10,Purificazioni10,,,
Animisti,Creazioni,1,Creazioni1,,,
Animisti,Creazioni,2,Creazioni2,,,
Animisti,Creazioni,3,Creazioni3,,,
Animisti,Creazioni,4,Creazioni4,,,
Animisti,Creazioni,5,Creazioni5,,,
Animisti,Creazioni,6,Creazioni6,,,
Animisti,Creazioni,7,Creazioni7,,,
Animisti,Creazioni,8,Creazioni8,,,
Animisti,Creazioni,9,Creazioni9,,,
Animisti,Creazioni,10,Creazioni10,,,
