Tiro Aperto,1. Banale,2. Facile,3. Lieve,4. Media,5. Difficile,6. Molto difficile,7. difficilissima,8. Folle,9. Assurda
-64,30,10,F,F,F,F,F,F,F
-63,30,10,F,F,F,F,F,F,F
-62,30,10,F,F,F,F,F,F,F
-61,30,10,F,F,F,F,F,F,F
-60,30,10,F,F,F,F,F,F,F
-59,30,10,F,F,F,F,F,F,F
-58,30,10,F,F,F,F,F,F,F
-57,30,10,F,F,F,F,F,F,F
-56,30,10,F,F,F,F,F,F,F
-55,30,10,F,F,F,F,F,F,F
-54,30,10,F,F,F,F,F,F,F
-53,30,10,F,F,F,F,F,F,F
-52,30,10,F,F,F,F,F,F,F
-51,30,10,F,F,F,F,F,F,F
-50,50,30,10,F,F,F,F,F,F
-49,50,30,10,F,F,F,F,F,F
-48,50,30,10,F,F,F,F,F,F
-47,50,30,10,F,F,F,F,F,F
-46,50,30,10,F,F,F,F,F,F
-45,50,30,10,F,F,F,F,F,F
-44,50,30,10,F,F,F,F,F,F
-43,50,30,10,F,F,F,F,F,F
-42,50,30,10,F,F,F,F,F,F
-41,50,30,10,F,F,F,F,F,F
-40,50,30,10,F,F,F,F,F,F
-39,50,30,10,F,F,F,F,F,F
-38,50,30,10,F,F,F,F,F,F
-37,50,30,10,F,F,F,F,F,F
-36,50,30,10,F,F,F,F,F,F
-35,50,30,10,F,F,F,F,F,F
-34,50,30,10,F,F,F,F,F,F
-33,50,30,10,F,F,F,F,F,F
-32,50,30,10,F,F,F,F,F,F
-31,50,30,10,F,F,F,F,F,F
-30,50,30,10,F,F,F,F,F,F
-29,50,30,10,F,F,F,F,F,F
-28,50,30,10,F,F,F,F,F,F
-27,50,30,10,F,F,F,F,F,F
-26,50,30,10,F,F,F,F,F,F
-25,70,50,30,5,F,F,F,F,F
-24,70,50,30,5,F,F,F,F,F
-23,70,50,30,5,F,F,F,F,F
-22,70,50,30,5,F,F,F,F,F
-21,70,50,30,5,F,F,F,F,F
-20,70,50,30,5,F,F,F,F,F
-19,70,50,30,5,F,F,F,F,F
-18,70,50,30,5,F,F,F,F,F
-17,70,50,30,5,F,F,F,F,F
-16,70,50,30,5,F,F,F,F,F
-15,70,50,30,5,F,F,F,F,F
-14,70,50,30,5,F,F,F,F,F
-13,70,50,30,5,F,F,F,F,F
-12,70,50,30,5,F,F,F,F,F
-11,70,50,30,5,F,F,F,F,F
-10,70,50,30,5,F,F,F,F,F
-9,70,50,30,5,F,F,F,F,F
-8,70,50,30,5,F,F,F,F,F
-7,70,50,30,5,F,F,F,F,F
-6,70,50,30,5,F,F,F,F,F
-5,70,50,30,5,F,F,F,F,F
-4,70,50,30,5,F,F,F,F,F
-3,70,50,30,5,F,F,F,F,F
-2,70,50,30,5,F,F,F,F,F
-1,70,50,30,5,F,F,F,F,F
0,70,50,30,5,F,F,F,F,F
1,80,60,50,10,5,F,F,F,F
2,80,60,50,10,5,F,F,F,F
3,80,60,50,10,5,F,F,F,F
4,80,60,50,10,5,F,F,F,F
5,80,60,50,10,5,F,F,F,F
6,80,60,50,10,5,F,F,F,F
7,80,60,50,10,5,F,F,F,F
8,80,60,50,10,5,F,F,F,F
9,80,60,50,10,5,F,F,F,F
10,80,60,50,10,5,F,F,F,F
11,80,60,50,10,5,F,F,F,F
12,80,60,50,10,5,F,F,F,F
13,80,60,50,10,5,F,F,F,F
14,80,60,50,10,5,F,F,F,F
15,80,60,50,10,5,F,F,F,F
16,80,60,50,10,5,F,F,F,F
17,80,60,50,10,5,F,F,F,F
18,80,60,50,10,5,F,F,F,F
19,80,60,50,10,5,F,F,F,F
20,80,60,50,10,5,F,F,F,F
21,90,70,60,20,10,5,F,F,F
22,90,70,60,20,10,5,F,F,F
23,90,70,60,20,10,5,F,F,F
24,90,70,60,20,10,5,F,F,F
25,90,70,60,20,10,5,F,F,F
26,90,70,60,20,10,5,F,F,F
27,90,70,60,20,10,5,F,F,F
28,90,70,60,20,10,5,F,F,F
29,90,70,60,20,10,5,F,F,F
30,90,70,60,20,10,5,F,F,F
31,90,70,60,20,10,5,F,F,F
32,90,70,60,20,10,5,F,F,F
33,90,70,60,20,10,5,F,F,F
34,90,70,60,20,10,5,F,F,F
35,90,70,60,20,10,5,F,F,F
36,90,70,60,20,10,5,F,F,F
37,90,70,60,20,10,5,F,F,F
38,90,70,60,20,10,5,F,F,F
39,90,70,60,20,10,5,F,F,F
40,90,70,60,20,10,5,F,F,F
41,100,80,70,30,20,10,5,F,F
42,100,80,70,30,20,10,5,F,F
43,100,80,70,30,20,10,5,F,F
44,100,80,70,30,20,10,5,F,F
45,100,80,70,30,20,10,5,F,F
46,100,80,70,30,20,10,5,F,F
47,100,80,70,30,20,10,5,F,F
48,100,80,70,30,20,10,5,F,F
49,100,80,70,30,20,10,5,F,F
50,100,80,70,30,20,10,5,F,F
51,100,80,70,30,20,10,5,F,F
52,100,80,70,30,20,10,5,F,F
53,100,80,70,30,20,10,5,F,F
54,100,80,70,30,20,10,5,F,F
55,100,80,70,30,20,10,5,F,F
56,100,90,80,40,30,20,10,F,F
57,100,90,80,40,30,20,10,F,F
58,100,90,80,40,30,20,10,F,F
59,100,90,80,40,30,20,10,F,F
60,100,90,80,40,30,20,10,F,F
61,100,90,80,40,30,20,10,F,F
62,100,90,80,40,30,20,10,F,F
63,100,90,80,40,30,20,10,F,F
64,100,90,80,40,30,20,10,F,F
65,100,90,80,40,30,20,10,F,F
66,100,100,90,50,40,30,20,5,F
67,100,100,90,50,40,30,20,5,F
68,100,100,90,50,40,30,20,5,F
69,100,100,90,50,40,30,20,5,F
70,100,100,90,50,40,30,20,5,F
71,100,100,90,50,40,30,20,5,F
72,100,100,90,50,40,30,20,5,F
73,100,100,90,50,40,30,20,5,F
74,100,100,90,50,40,30,20,5,F
75,100,100,90,50,40,30,20,5,F
76,100,100,100,60,50,40,30,10,F
77,100,100,100,60,50,40,30,10,F
78,100,100,100,60,50,40,30,10,F
79,100,100,100,60,50,40,30,10,F
80,100,100,100,60,50,40,30,10,F
81,100,100,100,60,50,40,30,10,F
82,100,100,100,60,50,40,30,10,F
83,100,100,100,60,50,40,30,10,F
84,100,100,100,60,50,40,30,10,F
85,100,100,100,60,50,40,30,10,F
86,100,100,100,70,60,50,40,20,5
87,100,100,100,70,60,50,40,20,5
88,100,100,100,70,60,50,40,20,5
89,100,100,100,70,60,50,40,20,5
90,100,100,100,70,60,50,40,20,5
91,100,100,100,70,60,50,40,20,5
92,100,100,100,70,60,50,40,20,5
93,100,100,100,70,60,50,40,20,5
94,100,100,100,70,60,50,40,20,5
95,100,100,100,70,60,50,40,20,5
96,110,100,100,80,70,60,50,25,10
97,110,100,100,80,70,60,50,25,10
98,110,100,100,80,70,60,50,25,10
99,110,100,100,80,70,60,50,25,10
100,110,100,100,80,70,60,50,25,10
101,110,100,100,80,70,60,50,25,10
102,110,100,100,80,70,60,50,25,10
103,110,100,100,80,70,60,50,25,10
104,110,100,100,80,70,60,50,25,10
105,110,100,100,80,70,60,50,25,10
106,110,110,100,90,80,70,60,30,20
107,110,110,100,90,80,70,60,30,20
108,110,110,100,90,80,70,60,30,20
109,110,110,100,90,80,70,60,30,20
110,110,110,100,90,80,70,60,30,20
111,110,110,100,90,80,70,60,30,20
112,110,110,100,90,80,70,60,30,20
113,110,110,100,90,80,70,60,30,20
114,110,110,100,90,80,70,60,30,20
115,110,110,100,90,80,70,60,30,20
116,120,110,110,100,90,80,70,40,30
117,120,110,110,100,90,80,70,40,30
118,120,110,110,100,90,80,70,40,30
119,120,110,110,100,90,80,70,40,30
120,120,110,110,100,90,80,70,40,30
121,120,110,110,100,90,80,70,40,30
122,120,110,110,100,90,80,70,40,30
123,120,110,110,100,90,80,70,40,30
124,120,110,110,100,90,80,70,40,30
125,120,110,110,100,90,80,70,40,30
126,120,120,110,100,100,90,80,50,40
127,120,120,110,100,100,90,80,50,40
128,120,120,110,100,100,90,80,50,40
129,120,120,110,100,100,90,80,50,40
130,120,120,110,100,100,90,80,50,40
131,120,120,110,100,100,90,80,50,40
132,120,120,110,100,100,90,80,50,40
133,120,120,110,100,100,90,80,50,40
134,120,120,110,100,100,90,80,50,40
135,120,120,110,100,100,90,80,50,40
136,130,120,120,110,100,100,90,60,50
137,130,120,120,110,100,100,90,60,50
138,130,120,120,110,100,100,90,60,50
139,130,120,120,110,100,100,90,60,50
140,130,120,120,110,100,100,90,60,50
141,130,120,120,110,100,100,90,60,50
142,130,120,120,110,100,100,90,60,50
143,130,120,120,110,100,100,90,60,50
144,130,120,120,110,100,100,90,60,50
145,130,120,120,110,100,100,90,60,50
146,130,130,120,110,110,100,100,70,60
147,130,130,120,110,110,100,100,70,60
148,130,130,120,110,110,100,100,70,60
149,130,130,120,110,110,100,100,70,60
150,130,130,120,110,110,100,100,70,60
151,130,130,120,110,110,100,100,70,60
152,130,130,120,110,110,100,100,70,60
153,130,130,120,110,110,100,100,70,60
154,130,130,120,110,110,100,100,70,60
155,130,130,120,110,110,100,100,70,60
156,140,130,130,120,110,110,100,80,70
157,140,130,130,120,110,110,100,80,70
158,140,130,130,120,110,110,100,80,70
159,140,130,130,120,110,110,100,80,70
160,140,130,130,120,110,110,100,80,70
161,140,130,130,120,110,110,100,80,70
162,140,130,130,120,110,110,100,80,70
163,140,130,130,120,110,110,100,80,70
164,140,130,130,120,110,110,100,80,70
165,140,130,130,120,110,110,100,80,70
166,140,140,130,120,120,110,110,90,80
167,140,140,130,120,120,110,110,90,80
168,140,140,130,120,120,110,110,90,80
169,140,140,130,120,120,110,110,90,80
170,140,140,130,120,120,110,110,90,80
171,140,140,130,120,120,110,110,90,80
172,140,140,130,120,120,110,110,90,80
173,140,140,130,120,120,110,110,90,80
174,140,140,130,120,120,110,110,90,80
175,140,140,130,120,120,110,110,90,80
176,140,140,130,120,120,110,110,90,80
177,140,140,130,120,120,110,110,90,80
178,140,140,130,120,120,110,110,90,80
179,140,140,130,120,120,110,110,90,80
180,140,140,130,120,120,110,110,90,80
181,140,140,130,120,120,110,110,90,80
182,140,140,130,120,120,110,110,90,80
183,140,140,130,120,120,110,110,90,80
184,140,140,130,120,120,110,110,90,80
185,140,140,130,120,120,110,110,90,80
186,150,140,140,130,120,120,110,100,90
187,150,140,140,130,120,120,110,100,90
188,150,140,140,130,120,120,110,100,90
189,150,140,140,130,120,120,110,100,90
190,150,140,140,130,120,120,110,100,90
191,150,140,140,130,120,120,110,100,90
192,150,140,140,130,120,120,110,100,90
193,150,140,140,130,120,120,110,100,90
194,150,140,140,130,120,120,110,100,90
195,150,140,140,130,120,120,110,100,90
196,150,140,140,130,120,120,110,100,90
197,150,140,140,130,120,120,110,100,90
198,150,140,140,130,120,120,110,100,90
199,150,140,140,130,120,120,110,100,90
200,150,140,140,130,120,120,110,100,90
201,150,140,140,130,120,120,110,100,90
202,150,140,140,130,120,120,110,100,90
203,150,140,140,130,120,120,110,100,90
204,150,140,140,130,120,120,110,100,90
205,150,140,140,130,120,120,110,100,90
206,150,140,140,130,120,120,110,100,90
207,150,140,140,130,120,120,110,100,90
208,150,140,140,130,120,120,110,100,90
209,150,140,140,130,120,120,110,100,90
210,150,140,140,130,120,120,110,100,90
211,150,140,140,130,120,120,110,100,90
212,150,140,140,130,120,120,110,100,90
213,150,140,140,130,120,120,110,100,90
214,150,140,140,130,120,120,110,100,90
215,150,140,140,130,120,120,110,100,90
216,150,140,140,130,120,120,110,100,90
217,150,140,140,130,120,120,110,100,90
218,150,140,140,130,120,120,110,100,90
219,150,140,140,130,120,120,110,100,90
220,150,140,140,130,120,120,110,100,90
221,150,140,140,130,120,120,110,100,90
222,150,140,140,130,120,120,110,100,90
223,150,140,140,130,120,120,110,100,90
224,150,140,140,130,120,120,110,100,90
225,150,140,140,130,120,120,110,100,90
226,150,150,140,130,130,120,120,100,100
227,150,150,140,130,130,120,120,100,100
228,150,150,140,130,130,120,120,100,100
229,150,150,140,130,130,120,120,100,100
230,150,150,140,130,130,120,120,100,100
231,150,150,140,130,130,120,120,100,100
232,150,150,140,130,130,120,120,100,100
233,150,150,140,130,130,120,120,100,100
234,150,150,140,130,130,120,120,100,100
235,150,150,140,130,130,120,120,100,100
236,150,150,140,130,130,120,120,100,100
237,150,150,140,130,130,120,120,100,100
238,150,150,140,130,130,120,120,100,100
239,150,150,140,130,130,120,120,100,100
240,150,150,140,130,130,120,120,100,100
241,150,150,140,130,130,120,120,100,100
242,150,150,140,130,130,120,120,100,100
243,150,150,140,130,130,120,120,100,100
244,150,150,140,130,130,120,120,100,100
245,150,150,140,130,130,120,120,100,100
246,150,150,140,130,130,120,120,100,100
247,150,150,140,130,130,120,120,100,100
248,150,150,140,130,130,120,120,100,100
249,150,150,140,130,130,120,120,100,100
250,150,150,140,130,130,120,120,100,100
251,150,150,140,130,130,120,120,100,100
252,150,150,140,130,130,120,120,100,100
253,150,150,140,130,130,120,120,100,100
254,150,150,140,130,130,120,120,100,100
255,150,150,140,130,130,120,120,100,100
256,150,150,140,130,130,120,120,100,100
257,150,150,140,130,130,120,120,100,100
258,150,150,140,130,130,120,120,100,100
259,150,150,140,130,130,120,120,100,100
260,150,150,140,130,130,120,120,100,100
261,150,150,140,130,130,120,120,100,100
262,150,150,140,130,130,120,120,100,100
263,150,150,140,130,130,120,120,100,100
264,150,150,140,130,130,120,120,100,100
265,150,150,140,130,130,120,120,100,100
266,150,150,140,130,130,120,120,100,100
267,150,150,140,130,130,120,120,100,100
268,150,150,140,130,130,120,120,100,100
269,150,150,140,130,130,120,120,100,100
270,150,150,140,130,130,120,120,100,100
271,150,150,140,130,130,120,120,100,100
272,150,150,140,130,130,120,120,100,100
273,150,150,140,130,130,120,120,100,100
274,150,150,140,130,130,120,120,100,100
275,150,150,140,130,130,120,120,100,100
276,160,150,150,140,130,130,120,110,100
